_id,STATUS_TYPE,TOTAL
1,BEDS_ICU_TOTAL,2401
2,BEDS_ICU_OCCUPIED_COVID_19,291
3,BEDS_ICU_NO_OCCUPIED_COVID_19,998
4,BEDS_AVAILABLE_ICU_BEDS_TOTAL,1112
5,VENTS_TOTAL,2852
6,VENTS_ALL_USE_COVID_19,66
7,VENTS_NON_COVID_PTS_ON_VENTS,400
8,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,2386
9,PCT_BEDS_ICU_OCCUPIED_COVID_19,12.1199999999999992184029906638897955417633056640625
10,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,41.57000000000000028421709430404007434844970703125
11,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,46.31000000000000227373675443232059478759765625
12,PCT_VENTS_ALL_USE_COVID_19,2.310000000000000053290705182007513940334320068359375
13,PCT_VENTS_NON_COVID_PTS_ON_VENTS,14.0299999999999993605115378159098327159881591796875
14,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,83.659999999999996589394868351519107818603515625
