_id,COUNTY_NAME,GENDER,AGE_GRP,EVENT_DATE,COVID_COUNT
1,ADAMS,F,20-29,2020-06-09T00:00:00,1
2,ADAMS,F,30-39,2020-06-01T00:00:00,1
3,ADAMS,F,30-39,2020-06-04T00:00:00,1
4,ADAMS,F,30-39,2020-06-12T00:00:00,1
5,ADAMS,F,40-49,2020-04-03T00:00:00,1
6,ADAMS,F,40-49,2020-04-09T00:00:00,1
7,ADAMS,F,40-49,2020-05-22T00:00:00,1
8,ADAMS,F,40-49,2020-05-29T00:00:00,1
9,ADAMS,F,50-59,2020-05-29T00:00:00,1
10,ADAMS,F,50-59,2020-06-12T00:00:00,1
11,ADAMS,F,50-59,2020-06-14T00:00:00,1
12,ADAMS,F,60-69,2020-04-09T00:00:00,1
13,ADAMS,F,60-69,2020-04-17T00:00:00,1
14,ADAMS,F,60-69,2020-06-01T00:00:00,1
15,ADAMS,F,60-69,2020-06-08T00:00:00,1
16,ADAMS,F,70-79,2020-06-15T00:00:00,1
17,ADAMS,M,0-19,2020-05-19T00:00:00,1
18,ADAMS,M,20-29,2020-05-27T00:00:00,1
19,ADAMS,M,30-39,2020-06-04T00:00:00,1
20,ADAMS,M,40-49,2020-05-01T00:00:00,1
21,ADAMS,M,40-49,2020-05-13T00:00:00,1
22,ADAMS,M,40-49,2020-06-01T00:00:00,1
23,ADAMS,M,50-59,2020-05-31T00:00:00,1
24,ADAMS,M,60-69,2020-03-09T00:00:00,1
25,ADAMS,M,60-69,2020-04-11T00:00:00,1
26,ADAMS,M,60-69,2020-05-17T00:00:00,1
27,ADAMS,M,60-69,2020-05-31T00:00:00,1
28,ADAMS,M,70-79,2020-04-13T00:00:00,1
29,ALLEN,F,0-19,2020-04-08T00:00:00,1
30,ALLEN,F,0-19,2020-04-10T00:00:00,1
31,ALLEN,F,0-19,2020-04-17T00:00:00,1
32,ALLEN,F,0-19,2020-04-23T00:00:00,1
33,ALLEN,F,0-19,2020-04-24T00:00:00,2
34,ALLEN,F,0-19,2020-04-25T00:00:00,1
35,ALLEN,F,0-19,2020-05-05T00:00:00,1
36,ALLEN,F,0-19,2020-05-06T00:00:00,3
37,ALLEN,F,0-19,2020-05-07T00:00:00,2
38,ALLEN,F,0-19,2020-05-09T00:00:00,1
39,ALLEN,F,0-19,2020-05-14T00:00:00,4
40,ALLEN,F,0-19,2020-05-15T00:00:00,2
41,ALLEN,F,0-19,2020-05-18T00:00:00,3
42,ALLEN,F,0-19,2020-05-20T00:00:00,1
43,ALLEN,F,0-19,2020-05-21T00:00:00,4
44,ALLEN,F,0-19,2020-05-22T00:00:00,3
45,ALLEN,F,0-19,2020-05-23T00:00:00,5
46,ALLEN,F,0-19,2020-05-24T00:00:00,4
47,ALLEN,F,0-19,2020-05-27T00:00:00,6
48,ALLEN,F,0-19,2020-05-28T00:00:00,3
49,ALLEN,F,0-19,2020-05-29T00:00:00,6
50,ALLEN,F,0-19,2020-05-31T00:00:00,4
51,ALLEN,F,0-19,2020-06-01T00:00:00,4
52,ALLEN,F,0-19,2020-06-02T00:00:00,2
53,ALLEN,F,0-19,2020-06-03T00:00:00,4
54,ALLEN,F,0-19,2020-06-04T00:00:00,6
55,ALLEN,F,0-19,2020-06-05T00:00:00,1
56,ALLEN,F,0-19,2020-06-06T00:00:00,3
57,ALLEN,F,0-19,2020-06-07T00:00:00,1
58,ALLEN,F,0-19,2020-06-08T00:00:00,2
59,ALLEN,F,0-19,2020-06-09T00:00:00,2
60,ALLEN,F,0-19,2020-06-10T00:00:00,3
61,ALLEN,F,0-19,2020-06-11T00:00:00,4
62,ALLEN,F,0-19,2020-06-12T00:00:00,1
63,ALLEN,F,0-19,2020-06-14T00:00:00,3
64,ALLEN,F,0-19,2020-06-15T00:00:00,1
65,ALLEN,F,0-19,2020-06-16T00:00:00,2
66,ALLEN,F,0-19,2020-06-17T00:00:00,2
67,ALLEN,F,0-19,2020-06-18T00:00:00,2
68,ALLEN,F,20-29,2020-03-19T00:00:00,1
69,ALLEN,F,20-29,2020-04-02T00:00:00,1
70,ALLEN,F,20-29,2020-04-06T00:00:00,1
71,ALLEN,F,20-29,2020-04-08T00:00:00,1
72,ALLEN,F,20-29,2020-04-10T00:00:00,1
73,ALLEN,F,20-29,2020-04-11T00:00:00,1
74,ALLEN,F,20-29,2020-04-12T00:00:00,4
75,ALLEN,F,20-29,2020-04-13T00:00:00,2
76,ALLEN,F,20-29,2020-04-15T00:00:00,7
77,ALLEN,F,20-29,2020-04-16T00:00:00,5
78,ALLEN,F,20-29,2020-04-17T00:00:00,2
79,ALLEN,F,20-29,2020-04-19T00:00:00,4
80,ALLEN,F,20-29,2020-04-21T00:00:00,2
81,ALLEN,F,20-29,2020-04-22T00:00:00,2
82,ALLEN,F,20-29,2020-04-23T00:00:00,1
83,ALLEN,F,20-29,2020-04-24T00:00:00,3
84,ALLEN,F,20-29,2020-04-26T00:00:00,1
85,ALLEN,F,20-29,2020-04-28T00:00:00,1
86,ALLEN,F,20-29,2020-04-29T00:00:00,1
87,ALLEN,F,20-29,2020-04-30T00:00:00,2
88,ALLEN,F,20-29,2020-05-02T00:00:00,1
89,ALLEN,F,20-29,2020-05-03T00:00:00,1
90,ALLEN,F,20-29,2020-05-04T00:00:00,2
91,ALLEN,F,20-29,2020-05-05T00:00:00,3
92,ALLEN,F,20-29,2020-05-06T00:00:00,3
93,ALLEN,F,20-29,2020-05-07T00:00:00,5
94,ALLEN,F,20-29,2020-05-08T00:00:00,4
95,ALLEN,F,20-29,2020-05-09T00:00:00,4
96,ALLEN,F,20-29,2020-05-10T00:00:00,1
97,ALLEN,F,20-29,2020-05-11T00:00:00,9
98,ALLEN,F,20-29,2020-05-12T00:00:00,1
99,ALLEN,F,20-29,2020-05-13T00:00:00,5
100,ALLEN,F,20-29,2020-05-14T00:00:00,5
101,ALLEN,F,20-29,2020-05-16T00:00:00,1
102,ALLEN,F,20-29,2020-05-17T00:00:00,5
103,ALLEN,F,20-29,2020-05-19T00:00:00,3
104,ALLEN,F,20-29,2020-05-20T00:00:00,5
105,ALLEN,F,20-29,2020-05-21T00:00:00,6
106,ALLEN,F,20-29,2020-05-22T00:00:00,4
107,ALLEN,F,20-29,2020-05-23T00:00:00,1
108,ALLEN,F,20-29,2020-05-24T00:00:00,4
109,ALLEN,F,20-29,2020-05-25T00:00:00,4
110,ALLEN,F,20-29,2020-05-26T00:00:00,3
111,ALLEN,F,20-29,2020-05-27T00:00:00,7
112,ALLEN,F,20-29,2020-05-28T00:00:00,4
113,ALLEN,F,20-29,2020-05-29T00:00:00,14
114,ALLEN,F,20-29,2020-05-30T00:00:00,3
115,ALLEN,F,20-29,2020-05-31T00:00:00,7
116,ALLEN,F,20-29,2020-06-01T00:00:00,2
117,ALLEN,F,20-29,2020-06-02T00:00:00,7
118,ALLEN,F,20-29,2020-06-03T00:00:00,2
119,ALLEN,F,20-29,2020-06-04T00:00:00,5
120,ALLEN,F,20-29,2020-06-05T00:00:00,4
121,ALLEN,F,20-29,2020-06-06T00:00:00,4
122,ALLEN,F,20-29,2020-06-07T00:00:00,4
123,ALLEN,F,20-29,2020-06-08T00:00:00,5
124,ALLEN,F,20-29,2020-06-09T00:00:00,4
125,ALLEN,F,20-29,2020-06-10T00:00:00,4
126,ALLEN,F,20-29,2020-06-12T00:00:00,3
127,ALLEN,F,20-29,2020-06-13T00:00:00,3
128,ALLEN,F,20-29,2020-06-14T00:00:00,4
129,ALLEN,F,20-29,2020-06-15T00:00:00,3
130,ALLEN,F,20-29,2020-06-16T00:00:00,1
131,ALLEN,F,20-29,2020-06-17T00:00:00,3
132,ALLEN,F,20-29,2020-06-18T00:00:00,1
133,ALLEN,F,30-39,2020-03-23T00:00:00,1
134,ALLEN,F,30-39,2020-03-26T00:00:00,1
135,ALLEN,F,30-39,2020-04-05T00:00:00,1
136,ALLEN,F,30-39,2020-04-13T00:00:00,1
137,ALLEN,F,30-39,2020-04-15T00:00:00,4
138,ALLEN,F,30-39,2020-04-16T00:00:00,1
139,ALLEN,F,30-39,2020-04-17T00:00:00,2
140,ALLEN,F,30-39,2020-04-18T00:00:00,4
141,ALLEN,F,30-39,2020-04-19T00:00:00,4
142,ALLEN,F,30-39,2020-04-20T00:00:00,2
143,ALLEN,F,30-39,2020-04-22T00:00:00,7
144,ALLEN,F,30-39,2020-04-23T00:00:00,2
145,ALLEN,F,30-39,2020-04-24T00:00:00,2
146,ALLEN,F,30-39,2020-04-26T00:00:00,1
147,ALLEN,F,30-39,2020-04-29T00:00:00,1
148,ALLEN,F,30-39,2020-04-30T00:00:00,3
149,ALLEN,F,30-39,2020-05-01T00:00:00,1
150,ALLEN,F,30-39,2020-05-02T00:00:00,1
151,ALLEN,F,30-39,2020-05-03T00:00:00,3
152,ALLEN,F,30-39,2020-05-04T00:00:00,5
153,ALLEN,F,30-39,2020-05-05T00:00:00,2
154,ALLEN,F,30-39,2020-05-06T00:00:00,3
155,ALLEN,F,30-39,2020-05-07T00:00:00,1
156,ALLEN,F,30-39,2020-05-08T00:00:00,1
157,ALLEN,F,30-39,2020-05-09T00:00:00,1
158,ALLEN,F,30-39,2020-05-10T00:00:00,1
159,ALLEN,F,30-39,2020-05-11T00:00:00,1
160,ALLEN,F,30-39,2020-05-12T00:00:00,1
161,ALLEN,F,30-39,2020-05-13T00:00:00,2
162,ALLEN,F,30-39,2020-05-14T00:00:00,6
163,ALLEN,F,30-39,2020-05-15T00:00:00,3
164,ALLEN,F,30-39,2020-05-16T00:00:00,2
165,ALLEN,F,30-39,2020-05-17T00:00:00,3
166,ALLEN,F,30-39,2020-05-18T00:00:00,1
167,ALLEN,F,30-39,2020-05-19T00:00:00,1
168,ALLEN,F,30-39,2020-05-20T00:00:00,4
169,ALLEN,F,30-39,2020-05-21T00:00:00,7
170,ALLEN,F,30-39,2020-05-22T00:00:00,2
171,ALLEN,F,30-39,2020-05-23T00:00:00,4
172,ALLEN,F,30-39,2020-05-24T00:00:00,5
173,ALLEN,F,30-39,2020-05-25T00:00:00,4
174,ALLEN,F,30-39,2020-05-26T00:00:00,2
175,ALLEN,F,30-39,2020-05-27T00:00:00,9
176,ALLEN,F,30-39,2020-05-28T00:00:00,4
177,ALLEN,F,30-39,2020-05-29T00:00:00,7
178,ALLEN,F,30-39,2020-05-30T00:00:00,4
179,ALLEN,F,30-39,2020-05-31T00:00:00,3
180,ALLEN,F,30-39,2020-06-01T00:00:00,5
181,ALLEN,F,30-39,2020-06-02T00:00:00,2
182,ALLEN,F,30-39,2020-06-03T00:00:00,3
183,ALLEN,F,30-39,2020-06-04T00:00:00,5
184,ALLEN,F,30-39,2020-06-05T00:00:00,3
185,ALLEN,F,30-39,2020-06-06T00:00:00,4
186,ALLEN,F,30-39,2020-06-08T00:00:00,1
187,ALLEN,F,30-39,2020-06-09T00:00:00,4
188,ALLEN,F,30-39,2020-06-10T00:00:00,7
189,ALLEN,F,30-39,2020-06-11T00:00:00,3
190,ALLEN,F,30-39,2020-06-12T00:00:00,7
191,ALLEN,F,30-39,2020-06-13T00:00:00,6
192,ALLEN,F,30-39,2020-06-14T00:00:00,3
193,ALLEN,F,30-39,2020-06-15T00:00:00,4
194,ALLEN,F,30-39,2020-06-16T00:00:00,4
195,ALLEN,F,30-39,2020-06-17T00:00:00,6
196,ALLEN,F,30-39,2020-06-18T00:00:00,2
197,ALLEN,F,40-49,2020-03-20T00:00:00,1
198,ALLEN,F,40-49,2020-03-31T00:00:00,1
