_id,Facility,Facility Submission Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_Deaths
1,1717 SENIOR LIVING,Data submitted - no cases to report,0.0,0.0,0.0,
2,ADAMS HERITAGE,Data submitted - no cases to report,0.0,0.0,0.0,
3,ADAMS WOODCREST,Data submitted - no cases to report,0.0,0.0,0.0,
4,ADDISON PLACE,Data submitted,10.0,< 5,< 5,
5,ADDISON POINTE HEALTH & REHABILITATION CENTER,Data submitted,10.0,5.0,< 5,
6,ALBANY HEALTH CARE & REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
7,ALEXANDRIA CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
8,ALLISON POINTE HEALTHCARE CENTER,Data submitted,68.0,12.0,13.0,
9,ALPHA HOME - A WATERS COMMUNITY,Data submitted - no cases to report,0.0,0.0,0.0,
10,ALTENHEIM HEALTH & LIVING COMMUNITY,Data submitted,0.0,5.0,0.0,
11,AMBASSADOR HEALTHCARE,Data submitted - no cases to report,0.0,0.0,0.0,
12,AMBER MANOR CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
13,ANSON SENIOR LIVING,Facility has not submitted Data,"","","",
14,ANTHOLOGY OF MERIDIAN HILLS,Data submitted,0.0,< 5,0.0,
15,APERION CARE ANGOLA,Data submitted,< 5,< 5,< 5,
16,APERION CARE ARBORS MICHIGAN CITY,Data submitted,10.0,< 5,< 5,
17,APERION CARE DEMOTTE,Data submitted,45.0,5.0,9.0,
18,APERION CARE FORT WAYNE,Data submitted,29.0,6.0,5.0,
19,APERION CARE FRANKFORT,Data submitted,< 5,< 5,0.0,
20,APERION CARE KOKOMO,Facility has not submitted Data,"","","",
21,APERION CARE MARION,Data submitted,< 5,< 5,0.0,
22,APERION CARE PERU,Data submitted - no cases to report,0.0,0.0,0.0,
23,APERION CARE SPENCER,Data submitted,< 5,< 5,0.0,
24,APERION CARE TOLLESTON PARK,Data submitted,51.0,21.0,6.0,
25,APERION CARE UNIVERSITY PARK,Data submitted - no cases to report,0.0,0.0,0.0,
26,APERION CARE WALDRON,Facility has not submitted Data,"","","",
27,APERION ESTATES PERU,Data submitted - no cases to report,0.0,0.0,0.0,
28,APPLE RIDGE ASSISTED LIVING AND MEMORY CARE,Facility has not submitted Data,"","","",
29,ARBOR TRACE HEALTH & LIVING COMMUNITY,Data submitted,< 5,< 5,< 5,
30,ARLINGTON PLACE HEALTH CAMPUS,Data submitted,< 5,6.0,< 5,
31,ASBURY TOWERS HEALTH CARE CENTER,Facility has not submitted Data,"","","",
32,ASHFORD PLACE HEALTH CAMPUS,Data submitted,< 5,< 5,0.0,
33,ASHTON CREEK HEALTH AND REHABILITATION CENTER,Data submitted,32.0,< 5,< 5,
34,ASPEN PLACE HEALTH CAMPUS,Data submitted,< 5,< 5,0.0,
35,ASPEN TRACE HEALTH & LIVING COMMUNITY,Data submitted,0.0,< 5,0.0,
36,ASSISTED LIVING AT ROMWEBER FLATS,Facility has not submitted Data,"","","",
37,ATRIA- NEWBURGH,Data submitted - no cases to report,0.0,0.0,0.0,
38,AUBURN VILLAGE,Facility has not submitted Data,"","","",
39,AUTUMN GLEN,Facility has not submitted Data,"","","",
40,AUTUMN HILLS ALZHEIMER'S SPECIAL CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
41,AUTUMN WOODS HEALTH CAMPUS,Data submitted,0.0,< 5,0.0,
42,AVALON SPRINGS HEALTH CAMPUS,Data submitted,< 5,< 5,0.0,
43,AVON HEALTH & REHABILITATION CENTER,Data submitted,36.0,16.0,12.0,
44,AZALEA HILLS,Data submitted - no cases to report,0.0,0.0,0.0,
45,BARRINGTON OF CARMEL,Data submitted,< 5,5.0,0.0,
46,BELL OAKS PLACE,Facility has not submitted Data,"","","",
47,BELL TRACE HEALTH AND LIVING CENTER,Data submitted,7.0,< 5,0.0,
48,BELL TRACE SENIOR LIVING COMMUNITY,Data submitted - no cases to report,0.0,0.0,0.0,
49,BELLTOWER HEALTH & REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
50,BELVEDERE SENIOR HOUSING,Data submitted,0.0,< 5,0.0,
51,BENNETT PLACE,Facility has not submitted Data,"","","",
52,BERTHA D GARTEN KETCHAM MEMORIAL CENTER,Data submitted,30.0,21.0,14.0,
53,BETHANY POINTE HEALTH CAMPUS,Data submitted,83.0,67.0,33.0,
54,BETHEL MANOR,Data submitted,0.0,< 5,0.0,
55,BETHEL POINTE HEALTH AND REHAB,Data submitted,0.0,< 5,0.0,
56,BICKFORD OF CARMEL,Facility has not submitted Data,"","","",
57,BICKFORD OF CROWN POINT,Facility has not submitted Data,"","","",
58,BICKFORD OF GREENWOOD,Facility has not submitted Data,"","","",
59,BLAIR RIDGE HEALTH CAMPUS,Data submitted,0.0,< 5,0.0,
60,BLISS PLACE,Data submitted,0.0,< 5,0.0,
61,BLOOM AT EAGLE CREEK,Data submitted - no cases to report,0.0,0.0,0.0,
62,BLOOM AT GERMAN CHURCH,Data submitted - no cases to report,0.0,0.0,0.0,
63,BLOOM AT KOKOMO,Data submitted,13.0,9.0,5.0,
64,BLOOMINGTON NURSING AND REHABILITATION CENTER,Data submitted,30.0,< 5,< 5,
65,BLUFFTON REGIONAL MEDICAL CENTER CONTINUING CARE,Data submitted,0.0,< 5,0.0,
66,BRAUN'S NURSING HOME,Data submitted,0.0,< 5,0.0,
67,BRECKENRIDGE COMMONS,Data submitted - no cases to report,0.0,0.0,0.0,
68,BRECKENRIDGE HEALTH & REHABILITATION,Data submitted - no cases to report,0.0,0.0,0.0,
69,BRENTWOOD AT HOBART,Data submitted,0.0,< 5,0.0,
70,BRENTWOOD AT LAPORTE,Facility has not submitted Data,"","","",
71,BRIARCLIFF HEALTH & REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
72,BRIDGE AT GARDEN PLAZA,Facility has not submitted Data,"","","",
73,BRIDGEPOINTE HEALTH CAMPUS,Data submitted - no cases to report,0.0,0.0,0.0,
74,BRIDGEWATER HEALTHCARE CENTER,Data submitted,7.0,< 5,0.0,
75,BRIDGEWATER REHABILITATION CENTRE,Data submitted - no cases to report,0.0,0.0,0.0,
76,BRIGHTSTAR SENIOR LIVING OF FORT WAYNE,Facility has not submitted Data,"","","",
77,BROOKDALE BLOOMINGTON,Data submitted - no cases to report,0.0,0.0,0.0,
78,BROOKDALE CARMEL,Data submitted,16.0,6.0,7.0,
79,BROOKDALE FORT WAYNE,Facility has not submitted Data,"","","",
80,BROOKDALE GRANGER,Data submitted,0.0,< 5,0.0,
81,BROOKDALE RICHMOND,Data submitted - no cases to report,0.0,0.0,0.0,
82,BROOKDALE SOUTH BEND,Data submitted - no cases to report,0.0,0.0,0.0,
83,BROOKDALE VALPARAISO,Data submitted,< 5,< 5,0.0,
84,BROOKE KNOLL VILLAGE,Data submitted,13.0,6.0,0.0,
85,BROOKSIDE CARE STRATEGIES,Data submitted - no cases to report,0.0,0.0,0.0,
86,BROOKSIDE VILLAGE,Data submitted - no cases to report,0.0,0.0,0.0,
87,BROOKVILLE HEALTHCARE CENTER,Data submitted,< 5,< 5,0.0,
88,BROWN COUNTY HEALTH AND LIVING COMMUNITY,Data submitted - no cases to report,0.0,0.0,0.0,
89,BROWNSBURG HEALTH CARE CENTER,Data submitted,27.0,13.0,9.0,
90,BYRON HEALTH CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
91,CAMELOT CARE CENTER,Data submitted,< 5,< 5,0.0,
92,CANNON INN ASSISTED LIVING,Data submitted - no cases to report,0.0,0.0,0.0,
93,CARMEL HEALTH & LIVING COMMUNITY,Data submitted,42.0,16.0,14.0,
94,CARMEL SENIOR LIVING,Facility has not submitted Data,"","","",
95,CAROLETON HEALTHCARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
96,CASTLETON HEALTH CARE CENTER,Data submitted,< 5,5.0,0.0,
97,CATHEDRAL HEALTH CARE CENTER,Data submitted,0.0,< 5,0.0,
98,CATHERINE KASPER HOME,Data submitted - no cases to report,0.0,0.0,0.0,
99,"CDC RESOUCES, INC. - RILEY RD.",Data submitted - no cases to report,0.0,0.0,0.0,
100,"CDC RESOURCES, INC. - COUNTRYBROOK",Data submitted - no cases to report,0.0,0.0,0.0,
101,"CDC RESOURCES, INC. - LEISURE ACRES",Data submitted - no cases to report,0.0,0.0,0.0,
102,CEDAR CREEK HEALTH CAMPUS,Data submitted,< 5,0.0,0.0,
103,CENTURY FIELDS RETIREMENT COMMUNITY,Data submitted,5.0,< 5,< 5,
104,CENTURY VILLA HEALTH CARE,Data submitted,32.0,23.0,8.0,
105,CHALET VILLAGE HEALTH AND REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
106,CHANDLER PLACE,Facility has not submitted Data,"","","",
107,CHAPMAN PLACE,Data submitted - no cases to report,0.0,0.0,0.0,
108,CHARLES FORD MEMORIAL HOME,Data submitted - no cases to report,0.0,0.0,0.0,
109,CHASE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
110,CHATEAU OF BATESVILLE,Data submitted,< 5,0.0,0.0,
111,CHESTERTON MANOR,Data submitted - no cases to report,0.0,0.0,0.0,
112,CHRISTIAN CARE RETIREMENT COMMUNITY,Data submitted,< 5,< 5,< 5,
113,CHRISTINA PLACE,Facility has not submitted Data,"","","",
114,CLARENDALE OF SCHERERVILLE,Facility has not submitted Data,"","","",
115,CLARKSVILLE SENIOR LIVING,Facility has not submitted Data,"","","",
116,CLEARVISTA LAKE HEALTH CAMPUS,Data submitted,< 5,11.0,0.0,
117,CLOVERLEAF OF KNIGHTSVILLE,Data submitted,0.0,< 5,0.0,
118,COBBLESTONE CROSSINGS HEALTH CAMPUS,Data submitted,< 5,0.0,0.0,
119,COLONIAL NURSING HOME,Data submitted,0.0,< 5,0.0,
120,COLONIAL OAKS HEALTH CARE CENTER,Data submitted,58.0,37.0,12.0,
121,COMPASS PARK - INDIANA MASONIC HOME,Data submitted,< 5,< 5,< 5,
122,COPPER TRACE HEALTH & LIVING COMMUNITY,Data submitted,< 5,< 5,< 5,
123,CORE OF BEDFORD,Data submitted,0.0,< 5,0.0,
124,CORE OF DALE,Data submitted - no cases to report,0.0,0.0,0.0,
125,COUNTRY CHARM,Data submitted,< 5,< 5,< 5,
126,COUNTRYSIDE MANOR HEALTH & LIVING COMMUNITY,Data submitted,0.0,< 5,0.0,
127,COURTYARD HEALTHCARE CENTER,Data submitted,< 5,6.0,0.0,
128,COVERED BRIDGE HEALTH CAMPUS,Data submitted,< 5,0.0,0.0,
129,CRAWFORDSVILLE BICKFORD COTTAGE,Facility has not submitted Data,"","","",
130,CREASY SPRINGS HEALTH CAMPUS,Data submitted - no cases to report,0.0,0.0,0.0,
131,CREEKSIDE HEALTH AND REHABILITATION CENTER,Data submitted,50.0,36.0,17.0,
132,CRESTWOOD VILLAGE SOUTH APARTMENTS,Data submitted - no cases to report,0.0,0.0,0.0,
133,CROWN POINT CHRISTIAN VILLAGE,Facility has not submitted Data,"","","",
134,CROWN POINTE SENIOR LIVING COMMUNITY,Data submitted,0.0,< 5,0.0,
135,CROWN SENIOR LIVING,Facility has not submitted Data,"","","",
136,CROWNPOINTE OF ANDERSON,Data submitted,6.0,< 5,< 5,
137,CROWNPOINTE OF CARMEL,Data submitted - no cases to report,0.0,0.0,0.0,
138,CROWNPOINTE OF GREENFIELD,Facility has not submitted Data,"","","",
139,CROWNPOINTE OF HARTFORD CITY,Facility has not submitted Data,"","","",
140,CROWNPOINTE OF INDIANAPOLIS,Facility has not submitted Data,"","","",
141,CROWNPOINTE OF LEBANON,Facility has not submitted Data,"","","",
142,CROWNPOINTE OF PORTLAND,Data submitted - no cases to report,0.0,0.0,0.0,
143,CUMBERLAND POINTE HEALTH CAMPUS,Data submitted - no cases to report,0.0,0.0,0.0,
144,CUMBERLAND TRACE HEALTH & LIVING COMMUNITY,Data submitted,23.0,15.0,< 5,
145,DECATUR TOWNSHIP CENTER,Facility has not submitted Data,"","","",
146,DEMAREE CROSSING ASSISTED LIVING AND MEMORY CARE,Facility has not submitted Data,"","","",
147,DIGBY PLACE,Data submitted,0.0,< 5,0.0,
148,DIVERSICARE OF PROVIDENCE,Data submitted,104.0,38.0,31.0,
149,DYER NURSING AND REHABILITATION CENTER,Data submitted,112.0,28.0,24.0,
150,EAGLE CREEK HEALTHCARE CENTER,Data submitted,0.0,< 5,0.0,
151,EASTLAKE TERRACE,Facility has not submitted Data,"","","",
152,ELKHART PLACE,Data submitted,< 5,0.0,0.0,
153,ELMCROFT OF MUNCIE,Data submitted,8.0,< 5,< 5,
154,ELWOOD HEALTH AND LIVING,Facility has not submitted Data,"","","",
155,EMERALD PLACE,Facility has not submitted Data,"","","",
156,ENGLEWOOD HEALTH & REHABILITATION CENTER,Data submitted,22.0,9.0,5.0,
157,ENMOTION RECOVERY CARE,Data submitted,< 5,< 5,0.0,
158,ESPECIALLY KIDZ HEALTH & REHAB,Data submitted,0.0,< 5,0.0,
159,ESSEX NURSING AND REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
160,EVANSVILLE PROTESTANT HOME,Facility has not submitted Data,"","","",
161,EVERGREEN CROSSING AND THE LOFTS,Data submitted,21.0,< 5,< 5,
162,EVERGREEN VILLAGE AT BLOOMINGTON,Data submitted - no cases to report,0.0,0.0,0.0,
163,EXCEPTIONAL LIVING CENTER OF BRAZIL,Data submitted - no cases to report,0.0,0.0,0.0,
164,FIVE STAR RESIDENCES OF BANTA POINTE,Data submitted,0.0,< 5,0.0,
165,FIVE STAR RESIDENCES OF CLEARWATER,Data submitted - no cases to report,0.0,0.0,0.0,
166,FIVE STAR RESIDENCES OF FORT WAYNE,Data submitted - no cases to report,0.0,0.0,0.0,
167,FIVE STAR RESIDENCES OF LAFAYETTE,Data submitted - no cases to report,0.0,0.0,0.0,
168,FIVE STAR RESIDENCES OF NOBLESVILLE,Data submitted,0.0,< 5,0.0,
169,FIVE STAR RESIDENCES OF NORTHWOODS,Data submitted - no cases to report,0.0,0.0,0.0,
170,FLATROCK RIVER LODGE,Data submitted - no cases to report,0.0,0.0,0.0,
171,FOREST PARK HEALTH CAMPUS,Data submitted,< 5,0.0,< 5,
172,FORUM AT THE CROSSING,Data submitted,37.0,19.0,14.0,
