_id,Facility,Facility_Submission_Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_deaths
1,1717 SENIOR LIVING,Data Submitted,0.0,0.0,0.0,
2,ADAMS HERITAGE,Data Submitted,0.0,0.0,0.0,
3,ADAMS WOODCREST,Data Submitted,0.0,< 5,0.0,
4,ADDISON PLACE,Data Submitted,5.0,< 5,< 5,
5,ADDISON POINTE HEALTH & REHABILITATION CENTER,Data Submitted,10.0,5.0,< 5,
6,ALBANY HEALTH CARE & REHABILITATION CENTER,Data Submitted,0.0,0.0,0.0,
7,ALEXANDRIA CARE CENTER,Data Submitted,0.0,< 5,0.0,
8,ALLISON POINTE HEALTHCARE CENTER,Data Submitted,68.0,12.0,13.0,
9,ALPHA HOME - A WATERS COMMUNITY,Data Submitted,58.0,11.0,19.0,
10,ALTENHEIM HEALTH & LIVING COMMUNITY,Data Submitted,0.0,5.0,0.0,
11,AMBASSADOR HEALTHCARE,Data Submitted,0.0,0.0,0.0,
12,AMBER MANOR CARE CENTER,Data Submitted,0.0,< 5,0.0,
13,ANSON SENIOR LIVING,Data Submitted,0.0,0.0,0.0,
14,ANTHOLOGY OF MERIDIAN HILLS,Data Submitted,< 5,< 5,< 5,
15,APERION CARE ANGOLA,Data Submitted,< 5,< 5,< 5,
16,APERION CARE ARBORS MICHIGAN CITY,Data Submitted,10.0,< 5,< 5,
17,APERION CARE DEMOTTE,Data Submitted,44.0,6.0,9.0,
18,APERION CARE FORT WAYNE,Data Submitted,29.0,6.0,6.0,
19,APERION CARE FRANKFORT,Data Submitted,< 5,< 5,0.0,
20,APERION CARE KOKOMO,Data Submitted,< 5,< 5,0.0,
21,APERION CARE MARION,Data Submitted,< 5,< 5,0.0,
22,APERION CARE PERU,Data Submitted,0.0,0.0,0.0,
23,APERION CARE SPENCER,Data Submitted,< 5,< 5,0.0,
24,APERION CARE TOLLESTON PARK,Data Submitted,51.0,21.0,9.0,
25,APERION CARE UNIVERSITY PARK,Data Submitted,0.0,0.0,0.0,
26,APERION CARE WALDRON,Data Submitted,26.0,6.0,< 5,
27,APERION ESTATES PERU,Data Submitted,0.0,< 5,0.0,
28,APPLE RIDGE ASSISTED LIVING AND MEMORY CARE,Data Submitted,< 5,< 5,0.0,
29,ARBOR TRACE HEALTH & LIVING COMMUNITY,Data Submitted,< 5,< 5,< 5,
30,ARLINGTON PLACE HEALTH CAMPUS,Data Submitted,< 5,7.0,< 5,
31,ASBURY TOWERS HEALTH CARE CENTER,Data Submitted,< 5,< 5,0.0,
32,ASHFORD PLACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
33,ASHTON CREEK HEALTH AND REHABILITATION CENTER,Data Submitted,32.0,< 5,< 5,
34,ASPEN PLACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
35,ASPEN TRACE HEALTH & LIVING COMMUNITY,Data Submitted,0.0,< 5,0.0,
36,ASSISTED LIVING AT ROMWEBER FLATS,Data Submitted,0.0,0.0,0.0,
37,HHC-ASC ASTER PLACE ASSISTED LIVING,Data Submitted,0.0,0.0,0.0,
38,AUBURN VILLAGE,Data Submitted,< 5,< 5,0.0,
39,AUTUMN GLEN,Data Submitted,0.0,0.0,0.0,
40,AUTUMN HILLS ALZHEIMER'S SPECIAL CARE CENTER,Data Submitted,0.0,0.0,0.0,
41,AUTUMN WOODS HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
42,AVALON SPRINGS HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
43,AVON HEALTH & REHABILITATION CENTER,Data Submitted,36.0,16.0,12.0,
44,AZALEA HILLS,Data Submitted,0.0,0.0,0.0,
45,BARRINGTON OF CARMEL,Data Submitted,< 5,7.0,0.0,
46,BELL OAKS PLACE,Data Submitted,0.0,< 5,0.0,
47,BELL TRACE HEALTH AND LIVING CENTER,Data Submitted,7.0,< 5,0.0,
48,BELLTOWER HEALTH & REHABILITATION CENTER,Data Submitted,0.0,0.0,0.0,
49,BELVEDERE SENIOR HOUSING,Data Submitted,0.0,< 5,0.0,
50,BENNETT PLACE,Data Submitted,0.0,0.0,0.0,
51,BERTHA D GARTEN KETCHAM MEMORIAL CENTER,Data Submitted,30.0,21.0,15.0,
52,BETHANY POINTE HEALTH CAMPUS,Data Submitted,83.0,67.0,34.0,
53,BETHEL MANOR,Data Submitted,0.0,< 5,0.0,
54,BETHEL POINTE HEALTH AND REHAB,Data Submitted,0.0,< 5,0.0,
55,BICKFORD OF CARMEL,Data Submitted,0.0,0.0,0.0,
56,BICKFORD OF CROWN POINT,Data Submitted,0.0,0.0,0.0,
57,BICKFORD OF GREENWOOD,Data Submitted,0.0,0.0,0.0,
