_id,school_id,school_name,county_fips,school_county,school_city,longitude,latitude,student_total_cases,teacher_total_cases,staff_total_cases,submission_status
1,0013,ADAMS CENTRAL MIDDLE SCHOOL,18001,ADAMS,MONROE,-84.942871569999994108002283610403537750244140625,40.74582543999999728612237959168851375579833984375,<5,0.0,0.0,One or more reported cases
2,0017,SOUTH ADAMS MIDDLE SCHOOL,18001,ADAMS,BERNE,-84.959276799999997820123098790645599365234375,40.6471358000000009269570000469684600830078125,0.0,0.0,0.0,No reported cases
3,0020,ADAMS CENTRAL ELEMENTARY SCHOOL,18001,ADAMS,MONROE,-84.942871569999994108002283610403537750244140625,40.74582543999999728612237959168851375579833984375,0.0,0.0,<5,One or more reported cases
4,0021,ADAMS CENTRAL HIGH SCHOOL,18001,ADAMS,MONROE,-84.942871569999994108002283610403537750244140625,40.74582543999999728612237959168851375579833984375,7.0,0.0,<5,One or more reported cases
5,0023,SOUTH ADAMS HIGH SCHOOL,18001,ADAMS,BERNE,-84.9605344600000051968891057185828685760498046875,40.64683744999999959190972731448709964752197265625,0.0,0.0,0.0,No reported cases
6,0025,SOUTH ADAMS ELEMENTARY SCHOOL,18001,ADAMS,BERNE,-84.9598083000000059428202803246676921844482421875,40.647134899999997514896676875650882720947265625,<5,0.0,0.0,One or more reported cases
7,0029,BELLMONT SENIOR HIGH SCHOOL,18001,ADAMS,DECATUR,-84.912954949999999598730937577784061431884765625,40.83692664000000149826519191265106201171875,0.0,0.0,0.0,No reported cases
8,0033,BELLMONT MIDDLE SCHOOL,18001,ADAMS,DECATUR,-84.91207826999999497274984605610370635986328125,40.8349162800000016204649000428617000579833984375,0.0,0.0,0.0,No reported cases
9,0037,BELLMONT ELEMENTARY,18001,ADAMS,DECATUR,-84.91207826999999497274984605610370635986328125,40.8349162800000016204649000428617000579833984375,0.0,0.0,0.0,No reported cases
10,0043,PRINCE CHAPMAN ACADEMY,18003,ALLEN,FORT WAYNE,-85.076875779999994620084180496633052825927734375,41.03257316999999915196895017288625240325927734375,<5,0.0,<5,One or more reported cases
11,0045,ABOITE ELEMENTARY SCHOOL,18003,ALLEN,FORT WAYNE,-85.2864780599999932064747554250061511993408203125,41.0387438599999967436815495602786540985107421875,<5,<5,0.0,One or more reported cases
12,0046,WHISPERING MEADOW ELEMENTARY SCHOOL,18003,ALLEN,FORT WAYNE,-85.25623658000000659740180708467960357666015625,41.079049179999998386847437359392642974853515625,0.0,0.0,<5,One or more reported cases
13,0047,HOMESTEAD SENIOR HIGH SCHOOL,18003,ALLEN,FORT WAYNE,-85.2845568599999950265555526129901409149169921875,41.04164620000000240906956605613231658935546875,7.0,<5,<5,One or more reported cases
14,0049,LEO JR/SR HIGH SCHOOL,18003,ALLEN,LEO,-85.0188243900000060193633544258773326873779296875,41.220103469999997969352989457547664642333984375,15.0,<5,0.0,One or more reported cases
15,0053,LEO ELEMENTARY SCHOOL,18003,ALLEN,LEO,-85.0126783200000062379331211559474468231201171875,41.22230873000000173078660736791789531707763671875,<5,6.0,0.0,One or more reported cases
16,0063,SUMMIT MIDDLE SCHOOL,18003,ALLEN,FORT WAYNE,-85.284149369999994405588950030505657196044921875,41.04441183000000137326424010097980499267578125,<5,0.0,0.0,One or more reported cases
17,0064,LAFAYETTE MEADOW SCHOOL,18003,ALLEN,ROANOKE,-85.29261155000000371728674508631229400634765625,40.99505880000000246354829869233071804046630859375,0.0,<5,0.0,One or more reported cases
18,0067,WOODSIDE MIDDLE SCHOOL,18003,ALLEN,FORT WAYNE,-85.312671429999994643367244862020015716552734375,41.063413220000001047083060257136821746826171875,0.0,0.0,0.0,No reported cases
19,0068,HAVERHILL ELEMENTARY SCHOOL,18003,ALLEN,FORT WAYNE,-85.2693220000000025038389139808714389801025390625,41.03972495000000009213181328959763050079345703125,0.0,0.0,0.0,No reported cases
20,0069,ARCOLA SCHOOL,18003,ALLEN,ARCOLA,-85.288412899999997307531884871423244476318359375,41.1050182000000035031916922889649868011474609375,0.0,0.0,<5,One or more reported cases
