_id,ZIP_CD,CASE_COUNT,POPULATION,PERCENTAGE
1,46998,Suppressed,Suppressed,Suppressed
2,47034,Suppressed,Suppressed,Suppressed
3,46146,Suppressed,Suppressed,Suppressed
4,46704,Suppressed,Suppressed,Suppressed
5,46946,Suppressed,Suppressed,Suppressed
6,46958,Suppressed,Suppressed,Suppressed
7,47160,Suppressed,Suppressed,Suppressed
8,47247,Suppressed,Suppressed,Suppressed
9,47337,Suppressed,Suppressed,Suppressed
10,47344,Suppressed,Suppressed,Suppressed
11,47361,Suppressed,Suppressed,Suppressed
12,47576,Suppressed,Suppressed,Suppressed
13,47853,Suppressed,Suppressed,Suppressed
14,47871,Suppressed,Suppressed,Suppressed
15,47925,Suppressed,Suppressed,Suppressed
16,46144,Suppressed,Suppressed,Suppressed
17,46183,Suppressed,Suppressed,Suppressed
18,47282,Suppressed,Suppressed,Suppressed
19,47335,Suppressed,Suppressed,Suppressed
20,46111,Suppressed,Suppressed,Suppressed
21,46127,Suppressed,Suppressed,Suppressed
22,46376,Suppressed,Suppressed,Suppressed
23,46381,Suppressed,Suppressed,Suppressed
24,46537,Suppressed,Suppressed,Suppressed
25,47224,Suppressed,Suppressed,Suppressed
26,47980,Suppressed,Suppressed,Suppressed
27,46104,Suppressed,Suppressed,Suppressed
28,46110,Suppressed,Suppressed,Suppressed
29,46393,Suppressed,Suppressed,Suppressed
30,46930,Suppressed,Suppressed,Suppressed
31,46957,Suppressed,Suppressed,Suppressed
32,46961,Suppressed,Suppressed,Suppressed
33,47016,Suppressed,Suppressed,Suppressed
34,47114,Suppressed,Suppressed,Suppressed
35,47354,Suppressed,Suppressed,Suppressed
36,47386,Suppressed,Suppressed,Suppressed
37,47550,Suppressed,Suppressed,Suppressed
38,47568,Suppressed,Suppressed,Suppressed
39,47837,Suppressed,Suppressed,Suppressed
40,47861,Suppressed,Suppressed,Suppressed
41,47866,Suppressed,Suppressed,Suppressed
42,47983,Suppressed,Suppressed,Suppressed
43,47994,Suppressed,Suppressed,Suppressed
44,46103,Suppressed,Suppressed,Suppressed
45,46348,Suppressed,Suppressed,Suppressed
46,46377,Suppressed,Suppressed,Suppressed
47,46731,Suppressed,Suppressed,Suppressed
48,46920,Suppressed,Suppressed,Suppressed
49,46943,Suppressed,Suppressed,Suppressed
50,47123,Suppressed,Suppressed,Suppressed
51,47162,Suppressed,Suppressed,Suppressed
52,47226,Suppressed,Suppressed,Suppressed
53,47612,Suppressed,Suppressed,Suppressed
54,47854,Suppressed,Suppressed,Suppressed
55,47881,Suppressed,Suppressed,Suppressed
56,47955,Suppressed,Suppressed,Suppressed
57,47981,Suppressed,Suppressed,Suppressed
58,46915,Suppressed,Suppressed,Suppressed
59,47116,Suppressed,Suppressed,Suppressed
60,47120,Suppressed,Suppressed,Suppressed
61,47351,Suppressed,Suppressed,Suppressed
62,47431,Suppressed,Suppressed,Suppressed
63,47537,Suppressed,Suppressed,Suppressed
64,47590,Suppressed,Suppressed,Suppressed
65,47849,Suppressed,Suppressed,Suppressed
66,47857,Suppressed,Suppressed,Suppressed
67,47942,Suppressed,Suppressed,Suppressed
68,47949,Suppressed,Suppressed,Suppressed
69,47965,Suppressed,Suppressed,Suppressed
70,46057,Suppressed,Suppressed,Suppressed
71,46058,Suppressed,Suppressed,Suppressed
72,46150,Suppressed,Suppressed,Suppressed
73,46791,Suppressed,Suppressed,Suppressed
74,46913,Suppressed,Suppressed,Suppressed
75,46959,Suppressed,Suppressed,Suppressed
76,46987,Suppressed,Suppressed,Suppressed
77,46988,Suppressed,Suppressed,Suppressed
78,47010,Suppressed,Suppressed,Suppressed
79,47036,Suppressed,Suppressed,Suppressed
80,47270,Suppressed,Suppressed,Suppressed
81,47280,Suppressed,Suppressed,Suppressed
82,47325,Suppressed,Suppressed,Suppressed
83,47385,5,1612,0.3101
84,47449,Suppressed,Suppressed,Suppressed
85,47451,Suppressed,Suppressed,Suppressed
86,47465,Suppressed,Suppressed,Suppressed
