_id,ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
1,46922,Suppressed,Suppressed,Suppressed
2,46998,Suppressed,Suppressed,Suppressed
3,47034,Suppressed,Suppressed,Suppressed
4,46146,Suppressed,Suppressed,Suppressed
5,46704,Suppressed,Suppressed,Suppressed
6,46946,Suppressed,Suppressed,Suppressed
7,46958,Suppressed,Suppressed,Suppressed
8,47160,Suppressed,Suppressed,Suppressed
9,47247,Suppressed,Suppressed,Suppressed
10,47337,Suppressed,Suppressed,Suppressed
11,47344,Suppressed,Suppressed,Suppressed
12,47361,Suppressed,Suppressed,Suppressed
13,47576,Suppressed,Suppressed,Suppressed
14,47853,Suppressed,Suppressed,Suppressed
15,47871,Suppressed,Suppressed,Suppressed
16,47925,Suppressed,Suppressed,Suppressed
17,46144,Suppressed,Suppressed,Suppressed
18,46183,Suppressed,Suppressed,Suppressed
19,47282,Suppressed,Suppressed,Suppressed
20,47335,Suppressed,Suppressed,Suppressed
21,47580,Suppressed,Suppressed,Suppressed
22,46111,Suppressed,Suppressed,Suppressed
23,46117,Suppressed,Suppressed,Suppressed
24,46127,Suppressed,Suppressed,Suppressed
25,46376,Suppressed,Suppressed,Suppressed
26,46381,Suppressed,Suppressed,Suppressed
27,46537,Suppressed,Suppressed,Suppressed
28,47224,Suppressed,Suppressed,Suppressed
29,47980,Suppressed,Suppressed,Suppressed
30,46104,Suppressed,Suppressed,Suppressed
31,46110,Suppressed,Suppressed,Suppressed
32,46393,Suppressed,Suppressed,Suppressed
33,46781,Suppressed,Suppressed,Suppressed
34,46930,Suppressed,Suppressed,Suppressed
35,46957,Suppressed,Suppressed,Suppressed
36,46961,Suppressed,Suppressed,Suppressed
37,47016,Suppressed,Suppressed,Suppressed
38,47114,Suppressed,Suppressed,Suppressed
39,47354,Suppressed,Suppressed,Suppressed
40,47386,Suppressed,Suppressed,Suppressed
41,47550,Suppressed,Suppressed,Suppressed
42,47568,Suppressed,Suppressed,Suppressed
43,47837,Suppressed,Suppressed,Suppressed
44,47861,Suppressed,Suppressed,Suppressed
45,47866,Suppressed,Suppressed,Suppressed
46,47983,Suppressed,Suppressed,Suppressed
47,47994,Suppressed,Suppressed,Suppressed
48,46103,Suppressed,Suppressed,Suppressed
49,46348,Suppressed,Suppressed,Suppressed
50,46377,Suppressed,Suppressed,Suppressed
51,46731,Suppressed,Suppressed,Suppressed
52,46920,Suppressed,Suppressed,Suppressed
53,46943,Suppressed,Suppressed,Suppressed
54,47123,Suppressed,Suppressed,Suppressed
55,47162,Suppressed,Suppressed,Suppressed
56,47226,Suppressed,Suppressed,Suppressed
57,47612,Suppressed,Suppressed,Suppressed
58,47854,Suppressed,Suppressed,Suppressed
59,47881,Suppressed,Suppressed,Suppressed
60,47955,Suppressed,Suppressed,Suppressed
61,47981,Suppressed,Suppressed,Suppressed
62,46915,Suppressed,Suppressed,Suppressed
63,46931,Suppressed,Suppressed,Suppressed
64,47116,Suppressed,Suppressed,Suppressed
65,47120,Suppressed,Suppressed,Suppressed
66,47351,Suppressed,Suppressed,Suppressed
67,47431,Suppressed,Suppressed,Suppressed
68,47537,Suppressed,Suppressed,Suppressed
69,47590,Suppressed,Suppressed,Suppressed
70,47849,Suppressed,Suppressed,Suppressed
71,47857,Suppressed,Suppressed,Suppressed
72,47942,Suppressed,Suppressed,Suppressed
73,47949,Suppressed,Suppressed,Suppressed
74,47965,Suppressed,Suppressed,Suppressed
75,46057,Suppressed,Suppressed,Suppressed
76,46058,11,2149,0.511800
77,46150,Suppressed,Suppressed,Suppressed
78,46791,Suppressed,Suppressed,Suppressed
79,46913,Suppressed,Suppressed,Suppressed
80,46959,Suppressed,Suppressed,Suppressed
81,46987,Suppressed,Suppressed,Suppressed
82,46988,Suppressed,Suppressed,Suppressed
83,47010,Suppressed,Suppressed,Suppressed
84,47036,Suppressed,Suppressed,Suppressed
85,47270,Suppressed,Suppressed,Suppressed
86,47280,Suppressed,Suppressed,Suppressed
87,47325,Suppressed,Suppressed,Suppressed
88,47385,5,1612,0.310100
89,47449,Suppressed,Suppressed,Suppressed
90,47451,Suppressed,Suppressed,Suppressed
91,47465,Suppressed,Suppressed,Suppressed
92,47529,Suppressed,Suppressed,Suppressed
93,47578,Suppressed,Suppressed,Suppressed
94,47597,Suppressed,Suppressed,Suppressed
95,47876,Suppressed,Suppressed,Suppressed
96,47943,Suppressed,Suppressed,Suppressed
97,46070,33,2351,1.403600
98,46162,Suppressed,Suppressed,Suppressed
99,46175,Suppressed,Suppressed,Suppressed
100,46745,8,1841,0.434500
101,46974,Suppressed,Suppressed,Suppressed
102,47017,Suppressed,Suppressed,Suppressed
103,47110,Suppressed,Suppressed,Suppressed
104,47223,Suppressed,Suppressed,Suppressed
105,47234,Suppressed,Suppressed,Suppressed
106,47244,Suppressed,Suppressed,Suppressed
107,47427,Suppressed,Suppressed,Suppressed
108,47469,5,1749,0.285800
109,47513,5,1841,0.271500
110,47516,Suppressed,Suppressed,Suppressed
111,47521,Suppressed,Suppressed,Suppressed
112,47585,Suppressed,Suppressed,Suppressed
113,47967,Suppressed,Suppressed,Suppressed
114,46076,7,1696,0.412700
115,46216,11,1697,0.648200
116,46301,Suppressed,Suppressed,Suppressed
117,46340,Suppressed,Suppressed,Suppressed
118,46365,Suppressed,Suppressed,Suppressed
119,46747,7,2693,0.259900
120,47003,Suppressed,Suppressed,Suppressed
121,47339,Suppressed,Suppressed,Suppressed
122,47342,6,2693,0.222700
123,47369,Suppressed,Suppressed,Suppressed
124,47387,Suppressed,Suppressed,Suppressed
125,47468,Suppressed,Suppressed,Suppressed
126,47470,5,1735,0.288100
127,47514,9,1559,0.577200
128,47575,Suppressed,Suppressed,Suppressed
129,47577,Suppressed,Suppressed,Suppressed
130,47611,Suppressed,Suppressed,Suppressed
131,47619,Suppressed,Suppressed,Suppressed
132,47631,Suppressed,Suppressed,Suppressed
133,47708,Suppressed,Suppressed,Suppressed
134,47832,Suppressed,Suppressed,Suppressed
135,47929,Suppressed,Suppressed,Suppressed
136,47930,Suppressed,Suppressed,Suppressed
137,46017,18,6025,0.298700
138,46035,Suppressed,Suppressed,Suppressed
139,46950,Suppressed,Suppressed,Suppressed
140,47135,Suppressed,Suppressed,Suppressed
141,47163,9,1746,0.515400
142,47231,Suppressed,Suppressed,Suppressed
143,47264,Suppressed,Suppressed,Suppressed
144,47360,Suppressed,Suppressed,Suppressed
145,47541,Suppressed,Suppressed,Suppressed
146,47557,Suppressed,Suppressed,Suppressed
147,47848,Suppressed,Suppressed,Suppressed
148,47917,Suppressed,Suppressed,Suppressed
149,47921,Suppressed,Suppressed,Suppressed
150,47926,Suppressed,Suppressed,Suppressed
151,47940,Suppressed,Suppressed,Suppressed
152,47989,Suppressed,Suppressed,Suppressed
153,46068,5,2850,0.175400
154,46105,12,1928,0.622400
155,46156,Suppressed,Suppressed,Suppressed
156,46165,Suppressed,Suppressed,Suppressed
157,46531,Suppressed,Suppressed,Suppressed
158,46571,58,5532,1.048400
159,46702,Suppressed,Suppressed,Suppressed
160,46764,Suppressed,Suppressed,Suppressed
161,46766,Suppressed,Suppressed,Suppressed
162,46776,Suppressed,Suppressed,Suppressed
163,46788,12,3260,0.368000
164,46990,Suppressed,Suppressed,Suppressed
165,47038,Suppressed,Suppressed,Suppressed
166,47166,Suppressed,Suppressed,Suppressed
167,47345,Suppressed,Suppressed,Suppressed
168,47352,Suppressed,Suppressed,Suppressed
169,47531,Suppressed,Suppressed,Suppressed
170,47561,Suppressed,Suppressed,Suppressed
171,47588,Suppressed,Suppressed,Suppressed
172,47833,Suppressed,Suppressed,Suppressed
173,47840,Suppressed,Suppressed,Suppressed
174,47858,Suppressed,Suppressed,Suppressed
175,47862,Suppressed,Suppressed,Suppressed
176,47951,Suppressed,Suppressed,Suppressed
177,47968,Suppressed,Suppressed,Suppressed
178,47992,Suppressed,Suppressed,Suppressed
179,46133,Suppressed,Suppressed,Suppressed
180,46147,17,3264,0.520800
181,46180,Suppressed,Suppressed,Suppressed
182,46763,Suppressed,Suppressed,Suppressed
183,46941,Suppressed,Suppressed,Suppressed
184,46986,Suppressed,Suppressed,Suppressed
185,46991,5,1797,0.278200
186,47115,Suppressed,Suppressed,Suppressed
187,47145,Suppressed,Suppressed,Suppressed
188,47230,7,2029,0.344900
189,47272,11,2041,0.538900
190,47273,6,1849,0.324400
191,47357,Suppressed,Suppressed,Suppressed
192,47373,Suppressed,Suppressed,Suppressed
193,47436,Suppressed,Suppressed,Suppressed
194,47527,5,1897,0.263500
195,47581,10,3883,0.257500
196,47850,Suppressed,Suppressed,Suppressed
197,47922,8,1623,0.492900
198,47950,Suppressed,Suppressed,Suppressed
199,47977,Suppressed,Suppressed,Suppressed
200,47995,6,1743,0.344200
201,46030,11,3308,0.332500
202,46056,5,2246,0.222600
203,46065,6,3669,0.163500
204,46149,Suppressed,Suppressed,Suppressed
205,46374,Suppressed,Suppressed,Suppressed
206,46510,7,3631,0.192700
207,46532,5,1905,0.262400
208,46543,40,3654,1.094600
209,46737,11,7068,0.155600
210,46760,Suppressed,Suppressed,Suppressed
211,46917,15,1853,0.809400
212,46982,5,2573,0.194300
213,47326,Suppressed,Suppressed,Suppressed
214,47358,Suppressed,Suppressed,Suppressed
215,47523,5,3435,0.145500
216,47532,5,4627,0.108000
217,47598,Suppressed,Suppressed,Suppressed
218,47847,Suppressed,Suppressed,Suppressed
219,47928,Suppressed,Suppressed,Suppressed
220,47948,Suppressed,Suppressed,Suppressed
221,46039,Suppressed,Suppressed,Suppressed
222,46171,Suppressed,Suppressed,Suppressed
223,46524,13,2326,0.558800
224,46705,Suppressed,Suppressed,Suppressed
225,46730,Suppressed,Suppressed,Suppressed
226,46794,5,1587,0.315000
227,46798,Suppressed,Suppressed,Suppressed
228,46911,Suppressed,Suppressed,Suppressed
229,46939,6,2101,0.285500
230,46960,Suppressed,Suppressed,Suppressed
231,46979,20,4733,0.422500
232,46985,Suppressed,Suppressed,Suppressed
233,47020,Suppressed,Suppressed,Suppressed
234,47023,9,1636,0.550100
235,47030,7,1636,0.427800
236,47031,13,5368,0.242100
237,47037,19,4333,0.438400
238,47042,11,4504,0.244200
239,47137,Suppressed,Suppressed,Suppressed
240,47141,7,1668,0.419600
241,47340,12,2914,0.411800
242,47341,Suppressed,Suppressed,Suppressed
243,47346,7,4082,0.171400
244,47356,13,5781,0.224800
245,47456,Suppressed,Suppressed,Suppressed
246,47564,Suppressed,Suppressed,Suppressed
247,47615,Suppressed,Suppressed,Suppressed
248,46051,Suppressed,Suppressed,Suppressed
249,46160,21,6421,0.327000
250,46186,Suppressed,Suppressed,Suppressed
251,46205,235,25356,0.926800
252,46278,62,8197,0.756300
253,46311,266,20816,1.277800
254,46542,24,4198,0.571700
255,46555,Suppressed,Suppressed,Suppressed
256,46770,Suppressed,Suppressed,Suppressed
257,46773,8,3662,0.218400
258,46933,17,6414,0.265000
259,47032,14,3289,0.425600
260,47040,11,5480,0.200700
261,47041,23,6125,0.375500
262,47043,13,5250,0.247600
263,47124,10,4264,0.234500
264,47138,8,4373,0.182900
265,47164,9,3779,0.238100
266,47232,17,2839,0.598800
267,47320,8,4134,0.193500
268,47383,13,2960,0.439100
269,47394,10,8470,0.118000
270,47471,17,2727,0.623300
271,47613,Suppressed,Suppressed,Suppressed
272,47648,5,4373,0.114300
273,47868,6,2937,0.204200
274,47918,6,6321,0.094900
275,46148,19,5097,0.372700
276,46320,172,15508,1.109100
277,46327,146,12153,1.201300
278,46346,Suppressed,Suppressed,Suppressed
279,46349,11,3336,0.329700
280,46504,8,3413,0.234300
281,46554,13,4942,0.263000
282,46573,18,3565,0.504900
283,46590,10,4908,0.203700
284,46732,26,3169,0.820400
285,46740,Suppressed,Suppressed,Suppressed
286,46741,27,4647,0.581000
287,46746,35,4036,0.867100
288,46779,Suppressed,Suppressed,Suppressed
289,46785,Suppressed,Suppressed,Suppressed
290,46787,14,3893,0.359600
291,46910,17,3360,0.505900
292,46914,7,4908,0.142600
293,46928,7,4951,0.141300
294,46929,15,3214,0.466700
295,46938,11,3200,0.343700
296,47024,13,3226,0.402900
297,47118,Suppressed,Suppressed,Suppressed
298,47283,20,3386,0.590600
299,47305,Suppressed,Suppressed,Suppressed
300,47353,8,5879,0.136000
