_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,Count Score Color,Previous Positivity,Pos Difference
1,Adams,18001,25,69.8769999999999953388396534137427806854248046875,1,0.07169999999999999984456877655247808434069156646728515625,1,1,Yellow (1 and 1.5),0.014550000000000000432986979603811050765216350555419921875,0.057149999999999999411581796948667033575475215911865234375
2,Allen,18003,315,83.048000000000001818989403545856475830078125,1,0.076710000000000000408562073062057606875896453857421875,1,1,Yellow (1 and 1.5),0.0698600000000000054267701443677651695907115936279296875,0.00685000000000000018596235662471372052095830440521240234375
3,Bartholomew,18005,30,35.80799999999999982946974341757595539093017578125,1,0.0340000000000000024424906541753443889319896697998046875,0,0.5,Blue (0 and 0.5),0.0189999999999999995281552145343084703199565410614013671875,0.01499999999999999944488848768742172978818416595458984375
4,Benton,18007,3,34.2939999999999969304553815163671970367431640625,1,0.006799999999999999621136392846665330580435693264007568359375,0,0.5,Blue (0 and 0.5),0.0225600000000000001920685832601520814932882785797119140625,-0.01575000000000000011102230246251565404236316680908203125
5,Blackford,18009,18,153.08699999999998908606357872486114501953125,2,0.059119999999999998940847234507600660435855388641357421875,1,1.5,Yellow (1 and 1.5),0.04184000000000000218935980456080869771540164947509765625,0.0172899999999999998134825318629737012088298797607421875
6,Boone,18011,42,61.9080000000000012505552149377763271331787109375,1,0.0272799999999999986943777230408159084618091583251953125,0,0.5,Blue (0 and 0.5),0.03404000000000000081268325402561458759009838104248046875,-0.00676000000000000038358205500799158471636474132537841796875
7,Brown,18013,,,0,0,0,0,Blue (0 and 0.5),0.0168999999999999983568699235547683201730251312255859375,-0.0168999999999999983568699235547683201730251312255859375
8,Carroll,18015,6,29.618999999999999772626324556767940521240234375,1,0.04510999999999999732214206460412242449820041656494140625,0,0.5,Blue (0 and 0.5),0.03024999999999999911182158029987476766109466552734375,0.01485999999999999994504396028105475124903023242950439453125
9,Cass,18017,14,37.1460000000000007958078640513122081756591796875,1,0.0497900000000000009237055564881302416324615478515625,0,0.5,Blue (0 and 0.5),0.0180699999999999992572607965257702744565904140472412109375,0.0317199999999999981969978080087457783520221710205078125
10,Clark,18019,116,98.054000000000002046363078989088535308837890625,1,0.077759999999999995790034290621406398713588714599609375,1,1,Yellow (1 and 1.5),0.09561999999999999666489003402602975256741046905517578125,-0.01786000000000000087485574340462335385382175445556640625
11,Clay,18021,26,99.14199999999999590727384202182292938232421875,1,0.035310000000000001108002578575906227342784404754638671875,0,0.5,Blue (0 and 0.5),0.035849999999999999922284388276239042170345783233642578125,-0.000529999999999999980675180477618368968251161277294158935546875
12,Clinton,18023,13,40.125,1,0.0297000000000000007049916206369744031690061092376708984375,0,0.5,Blue (0 and 0.5),0.032620000000000003159694728083195514045655727386474609375,-0.002919999999999999852617893481010469258762896060943603515625
13,Crawford,18025,21,198.544000000000011141310096718370914459228515625,2,0.044010000000000000508482145278321695514023303985595703125,0,1,Yellow (1 and 1.5),0.08777000000000000079491968563161208294332027435302734375,-0.04374999999999999722444243843710864894092082977294921875
14,Daviess,18027,47,140.92500000000001136868377216160297393798828125,2,0.07227999999999999702904318610308109782636165618896484375,1,1.5,Yellow (1 and 1.5),0.12234000000000000429878355134860612452030181884765625,-0.050060000000000000330846461338296649046242237091064453125
15,Dearborn,18029,18,36.39500000000000312638803734444081783294677734375,1,0.06461999999999999688693463895106106065213680267333984375,1,1,Yellow (1 and 1.5),0.048590000000000001245670233629425638355314731597900390625,0.0160299999999999991107113572752496111206710338592529296875
16,Decatur,18031,17,64.0079999999999955662133288569748401641845703125,1,0.044589999999999997692956554828924708999693393707275390625,0,0.5,Blue (0 and 0.5),0.10423999999999999932498440102790482342243194580078125,-0.059650000000000001632027846198980114422738552093505859375
17,De Kalb,18033,35,80.506000000000000227373675443232059478759765625,1,0.0903299999999999936317607307501020841300487518310546875,1,1,Yellow (1 and 1.5),0.0825599999999999945021755820562248118221759796142578125,0.007769999999999999996946886682280819513835012912750244140625
18,Delaware,18035,162,141.9370000000000118234311230480670928955078125,2,0.104959999999999997744026813961681909859180450439453125,2,2,Orange (2 and 2.5),0.14558999999999999719335619374760426580905914306640625,-0.040629999999999999449329379785922355949878692626953125
19,Dubois,18037,34,79.5580000000000069348971010185778141021728515625,1,0.0554199999999999970423658623985829763114452362060546875,1,1,Yellow (1 and 1.5),0.061780000000000001580957587066222913563251495361328125,-0.006369999999999999794331184688189750886522233486175537109375
20,Elkhart,18039,241,116.796999999999997044142219237983226776123046875,2,0.0563099999999999989430676805568509735167026519775390625,1,1.5,Yellow (1 and 1.5),0.0622499999999999997779553950749686919152736663818359375,-0.0059500000000000004274358644806852680630981922149658203125
21,Fayette,18041,22,95.2300000000000039790393202565610408782958984375,1,0.0831800000000000039346303992715547792613506317138671875,1,1,Yellow (1 and 1.5),0.162080000000000001847411112976260483264923095703125,-0.0788999999999999979127807137047057040035724639892578125
22,Floyd,18043,91,115.8910000000000053432813729159533977508544921875,2,0.059940000000000000224265050974281621165573596954345703125,1,1.5,Yellow (1 and 1.5),0.052560000000000002551292510588609729893505573272705078125,0.007380000000000000275057754350882532889954745769500732421875
23,Fountain,18045,10,61.17699999999999960209606797434389591217041015625,1,0.0197500000000000001942890293094023945741355419158935546875,0,0.5,Blue (0 and 0.5),0.05698999999999999899191749364035786129534244537353515625,-0.037240000000000002267075416284569655545055866241455078125
24,Franklin,18047,7,30.757999999999999118927007657475769519805908203125,1,0.085980000000000000870414851306122727692127227783203125,1,1,Yellow (1 and 1.5),0.062449999999999998567812298233548062853515148162841796875,0.0235299999999999988331556011189604760147631168365478515625
