_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score Two Meas.,County Score Color,Previous Positivity,Difference in Positivity
1,Adams,18001,24,67.0822036499999967418261803686618804931640625,1,0.020273907000000000733219707171883783303201198577880859375,0,0.5,Blue (0 and 0.5),0.0682773889999999938904551299856393598020076751708984375,-4.8003482000000001761463863658718764781951904296875
2,Allen,18003,355,93.5937083900000033054311643354594707489013671875,1,0.06377378400000000002734168447204865515232086181640625,1,1,Yellow (1 and 1.5),0.07676619899999999330209021763948840089142322540283203125,-1.299241400000000101755404102732427418231964111328125
3,Bartholomew,18005,26,31.034030009999998611647242796607315540313720703125,1,0.01491979300000000063786131931919953785836696624755859375,0,0.5,Blue (0 and 0.5),0.0276500499999999989342303052808347274549305438995361328125,-1.2730257999999998741458284712280146777629852294921875
4,Benton,18007,1,11.431184269999999258971001836471259593963623046875,1,0.01054421799999999929953187205455833463929593563079833984375,0,0.5,Blue (0 and 0.5),0.006802721000000000288465695774675623397342860698699951171875,0.374149699999999973965003619014169089496135711669921875
5,Blackford,18009,10,85.0484776299999936099993647076189517974853515625,1,0.07814027799999999357449809167519561015069484710693359375,1,1,Yellow (1 and 1.5),0.04613519900000000173445613427247735671699047088623046875,3.2005078999999998501380105153657495975494384765625
6,Boone,18011,20,29.479828430000001304733814322389662265777587890625,1,0.0198425160000000010140919215473331860266625881195068359375,0,0.5,Blue (0 and 0.5),0.0186325900000000009570921832846579491160809993743896484375,0.12099249999999998894661956683194148354232311248779296875
7,Brown,18013,9,59.6342433100000022250242182053625583648681640625,1,0.0102040819999999997358397507696281536482274532318115234375,0,0.5,Blue (0 and 0.5),0.0285714289999999988822754204420562018640339374542236328125,-1.8367346999999998313768401203560642898082733154296875
8,Carroll,18015,4,19.746260549999998801240508328191936016082763671875,1,0.0210364539999999995700807886578331817872822284698486328125,0,0.5,Blue (0 and 0.5),0.01339285699999999933174077426656367606483399868011474609375,0.7643596999999999752617441117763519287109375
9,Cass,18017,22,58.3724694200000016053309082053601741790771484375,1,0.0171138309999999994881481057973360293544828891754150390625,0,0.5,Blue (0 and 0.5),0.0284672150000000005742872843939039739780128002166748046875,-1.1353383999999999698360397815122269093990325927734375
10,Clark,18019,136,114.9600176000000004705725586973130702972412109375,2,0.07075768999999999808725448247059830464422702789306640625,1,1.5,Yellow (1 and 1.5),0.0751597579999999931832377342288964428007602691650390625,-0.440206700000000006323119805529131554067134857177734375
11,Clay,18021,17,64.82364155999999866253347136080265045166015625,1,0.03586989699999999781088177996934973634779453277587890625,0,0.5,Blue (0 and 0.5),0.033400796000000003427299333225164446048438549041748046875,0.246910000000000018349766151004587300121784210205078125
12,Clinton,18023,7,21.60560510999999905834556557238101959228515625,1,0.0145006230000000006785665362940562772564589977264404296875,0,0.5,Blue (0 and 0.5),0.023276708000000000120532916980664595030248165130615234375,-0.87760849999999990256327464521746151149272918701171875
13,Crawford,18025,8,75.635813560000002553351805545389652252197265625,1,0.060106362000000003453781260986943379975855350494384765625,1,1,Yellow (1 and 1.5),0.043940923999999999260968053249598597176373004913330078125,1.616543800000000086214413386187516152858734130859375
14,Daviess,18027,50,149.920542100000005802939995191991329193115234375,2,0.0858479510000000056724189789747470058500766754150390625,1,1.5,Yellow (1 and 1.5),0.070279120999999999952478901832364499568939208984375,1.55688300000000001688249540165998041629791259765625
15,Dearborn,18029,20,40.43835173000000082765836850740015506744384765625,1,0.03127745199999999725637422898216755129396915435791015625,0,0.5,Blue (0 and 0.5),0.0599852780000000029847484483980224467813968658447265625,-2.8707826000000000732370608602650463581085205078125
16,Decatur,18031,8,30.1216160299999984317764756269752979278564453125,1,0.0550103229999999998600657136194058693945407867431640625,1,1,Yellow (1 and 1.5),0.0440240130000000007282068281710962764918804168701171875,1.098630899999999854799170861952006816864013671875
17,De Kalb,18033,41,94.307073029999997970662661828100681304931640625,1,0.08902263800000000115719700488625676371157169342041015625,1,1,Yellow (1 and 1.5),0.08965994800000000319872839327217661775648593902587890625,-0.06373099999999999598632172137513407506048679351806640625
18,Delaware,18035,135,118.2809830000000062000253819860517978668212890625,2,0.06553858399999999695406671662567532621324062347412109375,1,1.5,Yellow (1 and 1.5),0.10341240100000000101676533859063056297600269317626953125,-3.787381699999999629113744958885945379734039306640625
19,Dubois,18037,43,100.61774619999999913488863967359066009521484375,2,0.04039336699999999946708584275256725959479808807373046875,0,1,Yellow (1 and 1.5),0.05401835900000000190157578572325292043387889862060546875,-1.3624992000000000214043893720372579991817474365234375
20,Elkhart,18039,328,158.960167899999987639603205025196075439453125,2,0.05403592599999999801507755137208732776343822479248046875,1,1.5,Yellow (1 and 1.5),0.059469734000000003260044678654594463296234607696533203125,-0.543380799999999997140776031301356852054595947265625
21,Fayette,18041,20,86.572591119999998454659362323582172393798828125,1,0.047246343000000003142790916399462730623781681060791015625,0,0.5,Blue (0 and 0.5),0.08119981399999999516214899131227866746485233306884765625,-3.395347099999999951336349113262258470058441162109375
22,Floyd,18043,69,87.8734622099999995725738699547946453094482421875,1,0.051502498000000000721865234254437382332980632781982421875,1,1,Yellow (1 and 1.5),0.0539265359999999971396533737788558937609195709228515625,-0.24240369999999999972573050399660132825374603271484375
23,Fountain,18045,4,24.470818550000000612953954259864985942840576171875,1,0.0573012420000000022302089064396568574011325836181640625,1,1,Yellow (1 and 1.5),0.0327644470000000020970531977582140825688838958740234375,2.45367949999999979127096594311296939849853515625
24,Franklin,18047,10,43.94059232000000037032805266790091991424560546875,1,0.0442253960000000001517861392130726017057895660400390625,0,0.5,Blue (0 and 0.5),0.062169311999999997409016572191831073723733425140380859375,-1.79439159999999997552322383853606879711151123046875
25,Fulton,18049,12,60.078101529999997865161276422441005706787109375,1,0.00793193399999999985972021221414252067916095256805419921875,0,0.5,Blue (0 and 0.5),0.042848482999999999709661580027386662550270557403564453125,-3.49165480000000005844640327268280088901519775390625
26,Gibson,18051,81,240.648860600000006115806172601878643035888671875,3,0.0693917059999999974451156958821229636669158935546875,1,2,Orange (2 and 2.5),0.0633009850000000040548542301621637307107448577880859375,0.60907210000000000515996134708984754979610443115234375
27,Grant,18053,60,91.2283902799999992794255376793444156646728515625,1,0.08724997199999999508701620243300567381083965301513671875,1,1,Yellow (1 and 1.5),0.08683786400000000071930372769202222116291522979736328125,0.041210799999999998821653690583843854255974292755126953125
28,Greene,18055,18,56.38744439999999968904376146383583545684814453125,1,0.0310169710000000008187637234868816449306905269622802734375,0,0.5,Blue (0 and 0.5),0.016424371000000000109242392909436603076756000518798828125,1.459260000000000001563194018672220408916473388671875
29,Hamilton,18057,232,68.6368195099999951480640447698533535003662109375,1,0.034678116000000001883929456880650832317769527435302734375,0,0.5,Blue (0 and 0.5),0.047099574999999997693134190512864734046161174774169921875,-1.2421459999999999723740984336473047733306884765625
30,Hancock,18059,42,53.73042677000000111320332507602870464324951171875,1,0.037479327999999999254665539183406508527696132659912109375,0,0.5,Blue (0 and 0.5),0.020728163000000000837363955952241667546331882476806640625,1.6751164999999998972413095543743111193180084228515625
