_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Difference in Positivity
1,Adams,18001,30,83.8527545630000048504371079616248607635498046875,1,0.0247684019999999983918659296477926545776426792144775390625,0,0.5,Blue (0 and 0.5),0.027379095999999998600760164890743908472359180450439453125,-0.2610694000000000070116357164806686341762542724609375
2,Allen,18003,340,89.639044659000006731730536557734012603759765625,1,0.051544552000000000424595469894484267570078372955322265625,1,1,Yellow (1 and 1.5),0.06230602200000000256974175272262073121964931488037109375,-1.0761469999999999647144477421534247696399688720703125
3,Bartholomew,18005,44,52.5191277050000024928522179834544658660888671875,1,0.03137515200000000337166028430146980099380016326904296875,0,0.5,Blue (0 and 0.5),0.0173647269999999999401385508690509595908224582672119140625,1.40104249999999996845190253225155174732208251953125
4,Benton,18007,4,45.72473708300000083681879914365708827972412109375,1,0,0,0.5,Blue (0 and 0.5),0,0
5,Blackford,18009,20,170.096955264999991186414263211190700531005859375,2,0.05782784600000000219122142652850016020238399505615234375,1,1.5,Yellow (1 and 1.5),0.03319423600000000196263982843447593040764331817626953125,2.46336099999999991183585734688676893711090087890625
6,Boone,18011,57,84.01751101799999332797597162425518035888671875,1,0.04280219600000000068629191218860796652734279632568359375,0,0.5,Blue (0 and 0.5),0.027885657000000001193296128576548653654754161834716796875,1.4916538999999999770551539768348447978496551513671875
7,Brown,18013,3,19.8780811029999995298567228019237518310546875,1,0.01298701300000000037615510706245913752354681491851806640625,0,0.5,Blue (0 and 0.5),0.1517316019999999932021950144189759157598018646240234375,-13.87445890000000048303263611160218715667724609375
8,Carroll,18015,11,54.30221651800000159937553689815104007720947265625,1,0.014977337000000000288846280227517127059400081634521484375,0,0.5,Blue (0 and 0.5),0.00743032400000000030348967783311309176497161388397216796875,0.7547013000000000193523419511620886623859405517578125
9,Cass,18017,64,169.8108201329999928930192254483699798583984375,2,0.050864470000000001903561752669702400453388690948486328125,1,1.5,Yellow (1 and 1.5),0.01208923999999999936150185675387547235004603862762451171875,3.877523000000000052978066378273069858551025390625
10,Clark,18019,143,120.8770773109999936423264443874359130859375,2,0.0734237110000000026133193387067876756191253662109375,1,1.5,Yellow (1 and 1.5),0.06646517600000000081106321658808155916631221771240234375,0.69585350000000001369215851809713058173656463623046875
11,Clay,18021,25,95.32888465199999927790486253798007965087890625,1,0.058573553000000000423597157350741326808929443359375,1,1,Yellow (1 and 1.5),0.0235603430000000009514327103943287511356174945831298828125,3.50132090000000051333017836441285908222198486328125
12,Clinton,18023,69,212.96953609700000242810347117483615875244140625,3,0.04016356799999999671602068929132656194269657135009765625,0,1.5,Yellow (1 and 1.5),0.007740536999999999591415278388240039930678904056549072265625,3.24230309999999999348574419855140149593353271484375
13,Crawford,18025,12,113.45372033699999292366555891931056976318359375,2,0.0164875249999999994032773287244708626531064510345458984375,0,1,Yellow (1 and 1.5),0.01398351599999999965440178328890397096984088420867919921875,0.2504009000000000373375996787217445671558380126953125
14,Daviess,18027,38,113.93961200600000438498682342469692230224609375,2,0.049795999999999999985345056074947933666408061981201171875,0,1,Yellow (1 and 1.5),0.07690653499999999809233486303128302097320556640625,-2.7110535000000002270326149300672113895416259765625
15,Dearborn,18029,39,78.8547858790000049111768021248281002044677734375,1,0.084695609000000005028852001487393863499164581298828125,1,1,Yellow (1 and 1.5),0.1235283689999999989783674436694127507507801055908203125,-3.883275999999999950063056530780158936977386474609375
16,Decatur,18031,8,30.12161602500000157078829943202435970306396484375,1,0.044827656999999999920536453146269195713102817535400390625,0,0.5,Blue (0 and 0.5),0.0111187639999999997308943733287378563545644283294677734375,3.370889299999999533241634708247147500514984130859375
17,De Kalb,18033,46,105.8079355950000035591074265539646148681640625,2,0.071141500999999995880074266096926294267177581787109375,1,1.5,Yellow (1 and 1.5),0.08337097999999999731191024920917698182165622711181640625,-1.222947899999999865627842154935933649539947509765625
18,Delaware,18035,173,151.57488938500000585918314754962921142578125,2,0.059004433000000001963147866490544402040541172027587890625,1,1.5,Yellow (1 and 1.5),0.044817716000000000498015850780575419776141643524169921875,1.41867169999999997997974787722341716289520263671875
19,Dubois,18037,84,196.555597154999986742041073739528656005859375,2,0.1029666270000000050099941972803208045661449432373046875,2,2,Orange (2 and 2.5),0.06702696800000000620922691041414509527385234832763671875,3.5939659999999999939745976007543504238128662109375
