_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Difference in Positivity
1,Adams,18001,224,626.100567404000003080000169575214385986328125,3,0.08352000399999999491473801072061178274452686309814453125,1,2,Orange (2 and 2.5),0.0690947289999999936238594955284497700631618499755859375,1.442527399999999904167680142563767731189727783203125
2,Allen,18003,1884,496.7057651090000263138790614902973175048828125,3,0.11653803499999999815361917399059166200459003448486328125,2,2.5,Orange (2 and 2.5),0.1065813359999999987426377856536419130861759185791015625,0.995670000000000054996007747831754386425018310546875
3,Bartholomew,18005,267,318.695615846000009696581400930881500244140625,3,0.07291392700000000337556826934815035201609134674072265625,1,2,Orange (2 and 2.5),0.0516353479999999975813551600367645733058452606201171875,2.127857899999999968798647387302480638027191162109375
4,Benton,18007,37,422.953818016000013813027180731296539306640625,3,0.070353056999999996623529341377434320747852325439453125,1,2,Orange (2 and 2.5),0.0586433150000000014134826642475672997534275054931640625,1.170974100000000017729462342686019837856292724609375
5,Blackford,18009,41,348.6987582919999795194598846137523651123046875,3,0.08473941599999999796377636585020809434354305267333984375,1,2,Orange (2 and 2.5),0.059987038999999998944989698657082044519484043121337890625,2.47523770000000009616769602871499955654144287109375
6,Boone,18011,203,299.22025853799999595139524899423122406005859375,3,0.0788457330000000011782645970015437342226505279541015625,1,2,Orange (2 and 2.5),0.074940583000000005053919949205010198056697845458984375,0.390515000000000001012523398458142764866352081298828125
7,Brown,18013,37,245.16300026499999376028426922857761383056640625,3,0.06056685600000000224696350414888001978397369384765625,1,2,Orange (2 and 2.5),0.03261335299999999770559355738441809080541133880615234375,2.79535029999999995453663359512574970722198486328125
8,Carroll,18015,90,444.29086241800001744195469655096530914306640625,3,0.08785789900000000318680548616612213663756847381591796875,1,2,Orange (2 and 2.5),0.085088521999999999767538838568725623190402984619140625,0.276937700000000008859757372192689217627048492431640625
9,Cass,18017,167,443.100108784999974886886775493621826171875,3,0.10241644599999999432071717819781042635440826416015625,2,2.5,Orange (2 and 2.5),0.0857424539999999957284870788498665206134319305419921875,1.6673993000000002506766350052203051745891571044921875
10,Clark,18019,386,326.283579314000007798313163220882415771484375,3,0.11025201399999999540835204925315338186919689178466796875,2,2.5,Orange (2 and 2.5),0.08321089199999999463930322463056654669344425201416015625,2.70411219999999996588257999974302947521209716796875
11,Clay,18021,105,400.38131553900001335932756774127483367919921875,3,0.159156000999999991396549603450694121420383453369140625,3,3,Red (3),0.14639787500000001063682475432869978249073028564453125,1.2758126000000000743739292374812066555023193359375
12,Clinton,18023,201,620.3895181950000505821662954986095428466796875,3,0.09551927699999999965552177627614582888782024383544921875,1,2,Orange (2 and 2.5),0.0727981490000000064366503238488803617656230926513671875,2.272112899999999768851921544410288333892822265625
13,Crawford,18025,21,198.544010589000009758819942362606525421142578125,2,0.09421982099999999527017990885724429972469806671142578125,1,1.5,Yellow (1 and 1.5),0.06152280300000000090587803924790932796895503997802734375,3.26970179999999999154169927351176738739013671875
14,Daviess,18027,97,290.84585169899997936227009631693363189697265625,3,0.1334501519999999885612851358018815517425537109375,2,2.5,Orange (2 and 2.5),0.1402224430000000021667716509909951128065586090087890625,-0.6772290999999999172587195062078535556793212890625
15,Dearborn,18029,188,380.1205062880000014047254808247089385986328125,3,0.1420196960000000008239595672421273775398731231689453125,2,2.5,Orange (2 and 2.5),0.1348774689999999998324398120530531741678714752197265625,0.71422269999999998812967305639176629483699798583984375
16,Decatur,18031,186,700.32757257399998707114718854427337646484375,3,0.1846879859999999984321306101264781318604946136474609375,3,3,Red (3),0.1261308359999999961775785095596802420914173126220703125,5.855715000000000003410605131648480892181396484375
17,De Kalb,18033,184,423.231742381000003661029040813446044921875,3,0.1242016430000000004607585424309945665299892425537109375,2,2.5,Orange (2 and 2.5),0.11192073800000000571852609709821990691125392913818359375,1.228090499999999973823605614597909152507781982421875
18,Delaware,18035,349,305.778245061000006899121217429637908935546875,3,0.086369646999999993841612422329490073025226593017578125,1,2,Orange (2 and 2.5),0.08395555300000000220617124568889266811311244964599609375,0.241409299999999993335819681306020356714725494384765625
19,Dubois,18037,212,496.0688880569999810177250765264034271240234375,3,0.11715188299999999832490260587292141281068325042724609375,2,2.5,Orange (2 and 2.5),0.10637286099999999910981074435767368413507938385009765625,1.077902200000000032531488614040426909923553466796875
20,Elkhart,18039,1956,947.94539136699995651724748313426971435546875,3,0.14687469300000000060890670283697545528411865234375,2,2.5,Orange (2 and 2.5),0.11741697099999999498454172908168402500450611114501953125,2.945772199999999951813833831693045794963836669921875
21,Fayette,18041,160,692.58072894099996119621209800243377685546875,3,0.1585601219999999977883220481089665554463863372802734375,3,3,Red (3),0.2193097340000000061710494492217549122869968414306640625,-6.07496119999999972804971548612229526042938232421875
22,Floyd,18043,241,306.92035353099998928882996551692485809326171875,3,0.092351981999999999128903027667547576129436492919921875,1,2,Orange (2 and 2.5),0.07739734199999999397778793763791327364742755889892578125,1.4954639999999999044888454591273330152034759521484375
23,Fountain,18045,76,464.94555242899997438144055195152759552001953125,3,0.1768106479999999869345828074074233882129192352294921875,3,3,Red (3),0.1620635490000000011878711347890202887356281280517578125,1.4747098000000000705966840541805140674114227294921875
24,Franklin,18047,52,228.49108006000000159474438987672328948974609375,3,0.10503447600000000161646340757215511985123157501220703125,2,2.5,Orange (2 and 2.5),0.0700589219999999957000369477100321091711521148681640625,3.497555399999999981019982442376203835010528564453125
25,Fulton,18049,90,450.5857614899999816771014593541622161865234375,3,0.038631112000000002171251622939962544478476047515869140625,0,1.5,Yellow (1 and 1.5),0.0689114170000000025861908170554670505225658416748046875,-3.0280304999999998472048901021480560302734375
26,Gibson,18051,176,522.89135149599997021141462028026580810546875,3,0.07939706200000000435590408187636057846248149871826171875,1,2,Orange (2 and 2.5),0.08413784800000000119180043611777364276349544525146484375,-0.47407860000000001665654281168826855719089508056640625
27,Grant,18053,220,334.5040976750000254469341598451137542724609375,3,0.129769407000000003282735860921093262732028961181640625,2,2.5,Orange (2 and 2.5),0.0983708769999999954602998286645743064582347869873046875,3.139853099999999841429598745889961719512939453125
28,Greene,18055,87,272.5393145790000062334001995623111724853515625,3,0.10973280600000000217786322309621027670800685882568359375,2,2.5,Orange (2 and 2.5),0.07364979500000000400827815383308916352689266204833984375,3.608301099999999816958506926312111318111419677734375
29,Hamilton,18057,1379,407.97488839099997903758776374161243438720703125,3,0.09222746599999999406183093242361792363226413726806640625,1,2,Orange (2 and 2.5),0.0674675230000000014651817537014721892774105072021484375,2.475994200000000144967771120718680322170257568359375
30,Hancock,18059,255,326.22044826500001590829924680292606353759765625,3,0.08797358600000000639074215769142028875648975372314453125,1,2,Orange (2 and 2.5),0.07652387700000000403388611402988317422568798065185546875,1.144970900000000124663301903638057410717010498046875
31,Harrison,18061,101,249.290386277000010295523679815232753753662109375,3,0.06519349600000000355404239371637231670320034027099609375,1,2,Orange (2 and 2.5),0.051168687999999996895983400690965936519205570220947265625,1.4024807999999999719165089118178002536296844482421875
32,Hendricks,18063,397,233.10297044800000776376691646873950958251953125,3,0.07976919300000000212502726526508922688663005828857421875,1,2,Orange (2 and 2.5),0.08637894499999999864403577021221281029284000396728515625,-0.6609751999999999849677578822593204677104949951171875
33,Henry,18065,220,458.6008504960000209393911063671112060546875,3,0.09398305499999999590432508966841851361095905303955078125,1,2,Orange (2 and 2.5),0.08481217300000000458570781347589218057692050933837890625,0.91708829999999996740456253974116407334804534912109375
34,Howard,18067,254,307.71467338600001539816730655729770660400390625,3,0.077543059999999996989572537131607532501220703125,1,2,Orange (2 and 2.5),0.053363711000000001172249852743334486149251461029052734375,2.417934900000000109088205135776661336421966552734375
35,Huntington,18069,139,380.613362541000014971359632909297943115234375,3,0.06984513900000000052870063882437534630298614501953125,1,2,Orange (2 and 2.5),0.10233108900000000007768363730065175332129001617431640625,-3.2485949999999998993871486163698136806488037109375
36,Jackson,18071,156,352.6938120319999825369450263679027557373046875,3,0.09740842600000000628401863878025324083864688873291015625,1,2,Orange (2 and 2.5),0.07664484000000000574193137481415760703384876251220703125,2.07635859999999983216412147157825529575347900390625
37,Jasper,18073,153,455.87271318799997743553831242024898529052734375,3,0.11203307499999999585771348620255594141781330108642578125,2,2.5,Orange (2 and 2.5),0.110131597999999997217202007959713228046894073486328125,0.1901477000000000028290259024288388900458812713623046875
38,Jay,18075,142,694.85222156999998333049006760120391845703125,3,0.09970335700000000633824726037346408702433109283447265625,1,2,Orange (2 and 2.5),0.0895852570000000014704966133649577386677265167236328125,1.0118099999999998761524011570145376026630401611328125
39,Jefferson,18077,136,420.948371919999999590800143778324127197265625,3,0.05551019299999999934147609792489674873650074005126953125,1,2,Orange (2 and 2.5),0.05289222400000000157138657641553436405956745147705078125,0.2617968999999999990535570759675465524196624755859375
40,Jennings,18079,98,353.34414999099999477039091289043426513671875,3,0.1363212209999999924292524156044237315654754638671875,2,2.5,Orange (2 and 2.5),0.059422216999999999398340833067777566611766815185546875,7.6899004000000008574033927288837730884552001953125
41,Johnson,18081,563,355.9528852419999793710303492844104766845703125,3,0.0994122090000000013798597819913993589580059051513671875,1,2,Orange (2 and 2.5),0.087758789000000003710511009558103978633880615234375,1.16534199999999987795717970584519207477569580078125
42,Knox,18083,202,552.0030606110000235275947488844394683837890625,3,0.07571794599999999431094721558110904879868030548095703125,1,2,Orange (2 and 2.5),0.07095396399999999437202546914704726077616214752197265625,0.4763981999999999938921746434061788022518157958984375
43,Kosciusko,18085,488,614.1763995170000498546869494020938873291015625,3,0.1338936069999999978197280370295629836618900299072265625,2,2.5,Orange (2 and 2.5),0.128755714999999992809165405560634098947048187255859375,0.5137891999999999459447508343146182596683502197265625
44,Lagrange,18087,149,376.12965113299998165530269034206867218017578125,3,0.2040472439999999887394466213663690723478794097900390625,3,3,Red (3),0.1391606149999999875177536523551680147647857666015625,6.48866299999999984748910719645209610462188720703125
45,Lake,18089,3060,630.287151410999967993120662868022918701171875,3,0.137234999999999995878852132591418921947479248046875,2,2.5,Orange (2 and 2.5),0.11445185500000000511366948785507702268660068511962890625,2.278314500000000020207835405017249286174774169921875
46,La Porte,18091,511,465.018928362999986347858794033527374267578125,3,0.1110284019999999982619698357666493393480777740478515625,2,2.5,Orange (2 and 2.5),0.09132649399999999417776308519023586995899677276611328125,1.97019080000000013086491890135221183300018310546875
47,Lawrence,18093,186,409.96253030600001920902286656200885772705078125,3,0.1323780400000000023741364429952227510511875152587890625,2,2.5,Orange (2 and 2.5),0.074502502999999997701507936653797514736652374267578125,5.787553700000000134195943246595561504364013671875
48,Madison,18095,459,354.2514027280000163955264724791049957275390625,3,0.09611245300000000046924952812332776375114917755126953125,1,2,Orange (2 and 2.5),0.11120647999999999644415993316215462982654571533203125,-1.509402800000000155478119268082082271575927734375
49,Marion,18097,2845,294.94641202100001464714296162128448486328125,3,0.09692230500000000026350477355663315393030643463134765625,1,2,Orange (2 and 2.5),0.08534908800000000350660656067702802829444408416748046875,1.1573217000000000087567286755074746906757354736328125
50,Marshall,18099,329,711.2283280729999432878685183823108673095703125,3,0.0548007689999999991758983242107206024229526519775390625,1,2,Orange (2 and 2.5),0.039321429999999997495496728561192867346107959747314453125,1.5479339000000000847734327180660329759120941162109375
51,Martin,18101,32,312.04290589999999383508111350238323211669921875,3,0.10696787400000000445299264129062066785991191864013671875,2,2.5,Orange (2 and 2.5),0.04913736500000000229082530722735100425779819488525390625,5.78305090000000010519443094381131231784820556640625
52,Miami,18103,158,444.8699177839999947536853142082691192626953125,3,0.08668772800000000555709078753352514468133449554443359375,1,2,Orange (2 and 2.5),0.07306691699999999511927484263651422224938869476318359375,1.3620810999999999335585698645445518195629119873046875
53,Monroe,18105,370,249.274073474999994459722074680030345916748046875,3,0.042295994000000003421035899009439162909984588623046875,0,1.5,Yellow (1 and 1.5),0.028719569000000000347228024111245758831501007080078125,1.357642400000000026949464881909079849720001220703125
54,Montgomery,18107,137,357.34780113699997627918492071330547332763671875,3,0.06411977600000000332425287297155591659247875213623046875,1,2,Orange (2 and 2.5),0.09498973300000000674625511010162881575524806976318359375,-3.08699570000000012015561878797598183155059814453125
55,Morgan,18109,256,363.17723332700001037665060721337795257568359375,3,0.08153786799999999945764983522167312912642955780029296875,1,2,Orange (2 and 2.5),0.0796054790000000067617946797327022068202495574951171875,0.1932389000000000189860571708777570165693759918212890625
56,Newton,18111,71,507.7231121280000252227182500064373016357421875,3,0.187705630000000012191918585813255049288272857666015625,3,3,Red (3),0.06598731400000000524297405490870005451142787933349609375,12.1718315999999990850710673839785158634185791015625
57,Noble,18113,294,615.784182306000047901761718094348907470703125,3,0.11950128499999999875935685622607707045972347259521484375,2,2.5,Orange (2 and 2.5),0.0731010579999999965394863465917296707630157470703125,4.64002270000000027749820219469256699085235595703125
58,Ohio,18115,16,272.34042553199998337731813080608844757080078125,3,0.06658793799999999929450922309115412645041942596435546875,1,2,Orange (2 and 2.5),0.127529449999999988651921967175439931452274322509765625,-6.0941512000000006565869625774212181568145751953125
59,Orange,18117,47,239.23444976100000758378882892429828643798828125,3,0.059340840999999998339742290909271105192601680755615234375,1,2,Orange (2 and 2.5),0.04716752999999999917957183015460032038390636444091796875,1.21733109999999999928377292235381901264190673828125
60,Owen,18119,103,495.21611615900002334456075914204120635986328125,3,0.0991892080000000009309957249570288695394992828369140625,1,2,Orange (2 and 2.5),0.04215607100000000329043103874937514774501323699951171875,5.70331369999999981956761985202319920063018798828125
61,Parke,18121,64,377.87093345900001395420986227691173553466796875,3,0.1272543670000000071151902147903456352651119232177734375,2,2.5,Orange (2 and 2.5),0.056705607999999997625995007410892867483198642730712890625,7.05487589999999986645207172841764986515045166015625
62,Perry,18123,121,631.2275027389999877414084039628505706787109375,3,0.2134049030000000068962862087573739700019359588623046875,3,3,Red (3),0.1465745730000000135451188043589354492723941802978515625,6.68303299999999911307213551481254398822784423828125
63,Pike,18125,28,226.006941641999986813971190713346004486083984375,3,0.056679341000000001138392491384365712292492389678955078125,1,2,Orange (2 and 2.5),0.056416261000000002268084386969348997808992862701416015625,0.0263080000000000015225598559709396795369684696197509765625
64,Porter,18127,1018,597.4564085709999972095829434692859649658203125,3,0.1445219849999999917056214826516225002706050872802734375,2,2.5,Orange (2 and 2.5),0.11508216100000000226000196335007785819470882415771484375,2.943982399999999888251522861537523567676544189453125
65,Posey,18129,84,330.35749400200000991389970295131206512451171875,3,0.09391976900000000016976997585516073741018772125244140625,1,2,Orange (2 and 2.5),0.07500077700000000457958293509364011697471141815185546875,1.8918991999999998920856114636990241706371307373046875
