_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Pos Difference
1,Adams,18001,408,1140.3969999999999345163814723491668701171875,3,0.11450000000000000455191440096314181573688983917236328125,2,2.5,Orange (2 and 2.5),0.07657999999999999529709526768783689476549625396728515625,3.792000000000000259348098552436567842960357666015625
2,Allen,18003,2893,762.722999999999956344254314899444580078125,3,0.1699100000000000054711790653527714312076568603515625,3,3,Red (3),0.11565999999999999892086322006434784270823001861572265625,5.4260000000000001563194018672220408916473388671875
3,Bartholomew,18005,544,649.326999999999998181010596454143524169921875,3,0.1124900000000000066524563635539379902184009552001953125,2,2.5,Orange (2 and 2.5),0.07008999999999999952482454546043300069868564605712890625,4.2400000000000002131628207280300557613372802734375
4,Benton,18007,89,1017.375,3,0.0849499999999999977351450297646806575357913970947265625,1,2,Orange (2 and 2.5),0.056680000000000001214583988939921255223453044891357421875,2.8269999999999999573674358543939888477325439453125
5,Blackford,18009,77,654.87300000000004729372449219226837158203125,3,0.07903000000000000302424751907892641611397266387939453125,1,2,Orange (2 and 2.5),0.07790999999999999314770349201353383250534534454345703125,0.1110000000000000153210777398271602578461170196533203125
6,Boone,18011,351,517.3709999999999809006112627685070037841796875,3,0.099909999999999998809840917601832188665866851806640625,1,2,Orange (2 and 2.5),0.08062999999999999334310274434756138361990451812744140625,1.92799999999999993605115378159098327159881591796875
7,Brown,18013,67,443.94400000000001682565198279917240142822265625,3,0.1635399999999999909316983348617213778197765350341796875,3,3,Red (3),0.054710000000000001685318551380987628363072872161865234375,10.882999999999999118927007657475769519805908203125
8,Carroll,18015,79,389.98899999999997589839040301740169525146484375,3,0.10584000000000000352162743411099654622375965118408203125,2,2.5,Orange (2 and 2.5),0.098470000000000001971756091734278015792369842529296875,0.73699999999999998845368054389837197959423065185546875
9,Cass,18017,177,469.63299999999998135535861365497112274169921875,3,0.10879999999999999393818228554664528928697109222412109375,2,2.5,Orange (2 and 2.5),0.10191999999999999670929895501103601418435573577880859375,0.6879999999999999449329379785922355949878692626953125
10,Clark,18019,583,492.807000000000016370904631912708282470703125,3,0.1186500000000000054622972811557701788842678070068359375,2,2.5,Orange (2 and 2.5),0.11358000000000000040412118096355698071420192718505859375,0.50800000000000000710542735760100185871124267578125
