_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,28,1,906
2,ALLEN,2277,90,19203
3,BARTHOLOMEW,561,42,3043
4,BENTON,37,0,446
5,BLACKFORD,31,2,582
6,BOONE,383,39,3741
7,BROWN,36,1,347
8,CARROLL,102,2,1243
9,CASS,1608,9,4395
10,CLARK,581,43,5374
11,CLAY,56,3,1301
12,CLINTON,262,1,3085
13,CRAWFORD,27,0,407
14,DAVIESS,128,16,1387
15,DEARBORN,180,22,1819
16,DECATUR,238,32,1555
17,DEKALB,123,3,1488
18,DELAWARE,403,44,5841
19,DUBOIS,243,5,2035
20,ELKHART,2280,35,16217
21,FAYETTE,85,7,1171
22,FLOYD,338,42,3571
23,FOUNTAIN,24,2,716
24,FRANKLIN,120,8,691
25,FULTON,56,1,860
26,GIBSON,24,2,1085
27,GRANT,265,24,3181
28,GREENE,182,29,1578
29,HAMILTON,1371,96,20143
30,HANCOCK,382,30,4819
31,HARRISON,200,22,1686
32,HENDRICKS,1283,93,8720
33,HENRY,204,15,2790
34,HOWARD,479,47,4466
35,HUNTINGTON,55,2,1542
36,JACKSON,422,2,2401
37,JASPER,86,1,1987
38,JAY,64,0,740
39,JEFFERSON,54,1,1799
40,JENNINGS,142,4,868
41,JOHNSON,1177,115,9251
42,KNOX,38,0,1409
43,KOSCIUSKO,335,2,3342
44,LAGRANGE,320,2,1370
45,LAKE,4222,231,30792
46,LAPORTE,473,25,5789
47,LAWRENCE,186,24,2052
48,MADISON,615,62,5572
49,MARION,10862,657,70193
50,MARSHALL,322,3,3068
51,MARTIN,16,0,335
52,MIAMI,177,1,1846
53,MONROE,202,23,5463
54,MONTGOMERY,268,19,2232
55,MORGAN,300,30,3548
56,NEWTON,88,10,573
57,NOBLE,346,27,2776
58,OHIO,13,0,211
59,ORANGE,132,23,918
60,OWEN,39,1,1154
61,PARKE,20,0,574
62,PERRY,94,1,965
63,PIKE,6,0,293
64,PORTER,597,35,6820
65,POSEY,22,0,615
66,PULASKI,53,1,682
67,PUTNAM,158,8,1923
68,RANDOLPH,68,3,1121
69,RIPLEY,111,6,1333
70,RUSH,51,3,864
71,SCOTT,145,4,1995
72,SHELBY,408,23,3222
73,SPENCER,23,1,560
74,ST JOSEPH,1583,53,19574
75,STARKE,55,3,835
76,STEUBEN,107,2,1334
77,SULLIVAN,41,1,1227
78,SWITZERLAND,22,0,377
79,TIPPECANOE,497,6,9438
80,TIPTON,28,1,651
81,UNION,12,0,335
82,VANDERBURGH,335,5,8607
83,VERMILLION,12,0,502
84,VIGO,202,8,4316
85,WABASH,88,2,1343
86,WARREN,15,1,233
87,WARRICK,176,29,2304
88,WASHINGTON,59,1,798
89,WAYNE,104,6,3214
90,WELLS,63,0,1189
91,WHITE,242,10,1826
92,WHITLEY,65,3,989
