_id,location_id,m1e_covid_cases,m1e_covid_deaths,m1e_covid_tests,county_name
1,18001,0,0,0,Adams
2,18001,0,0,0,Adams
3,18001,0,0,0,Adams
4,18001,0,0,0,Adams
5,18001,0,0,1,Adams
6,18001,0,0,0,Adams
7,18001,0,0,0,Adams
8,18001,0,0,0,Adams
9,18001,1,0,4,Adams
10,18001,0,0,1,Adams
11,18001,0,0,1,Adams
12,18001,0,0,1,Adams
13,18001,0,0,0,Adams
14,18001,0,0,0,Adams
15,18001,0,0,0,Adams
16,18001,0,0,2,Adams
17,18001,0,0,0,Adams
18,18001,0,0,3,Adams
19,18001,0,0,2,Adams
20,18001,0,0,0,Adams
21,18001,0,0,4,Adams
22,18001,0,0,2,Adams
23,18001,0,0,1,Adams
24,18001,0,0,1,Adams
25,18001,0,0,2,Adams
26,18001,0,0,5,Adams
27,18001,0,0,4,Adams
28,18001,0,0,0,Adams
29,18001,0,0,1,Adams
30,18001,0,0,1,Adams
31,18001,0,0,2,Adams
32,18001,0,0,6,Adams
33,18001,0,0,1,Adams
34,18001,1,0,3,Adams
35,18001,0,0,1,Adams
36,18001,0,0,6,Adams
37,18001,0,0,5,Adams
38,18001,0,1,4,Adams
39,18001,0,0,7,Adams
40,18001,2,0,8,Adams
41,18001,0,0,1,Adams
42,18001,1,0,0,Adams
43,18001,0,0,1,Adams
44,18001,1,0,4,Adams
45,18001,0,0,9,Adams
46,18001,0,0,4,Adams
47,18001,0,0,4,Adams
48,18001,1,0,4,Adams
49,18001,0,0,2,Adams
50,18001,0,0,3,Adams
51,18001,0,0,4,Adams
52,18001,0,0,6,Adams
53,18001,0,0,7,Adams
54,18001,0,0,2,Adams
55,18001,0,0,6,Adams
56,18001,0,0,3,Adams
57,18001,0,0,1,Adams
58,18001,0,0,14,Adams
59,18001,0,0,3,Adams
60,18001,0,0,14,Adams
61,18001,0,0,7,Adams
62,18001,1,0,5,Adams
63,18001,0,0,2,Adams
64,18001,0,0,0,Adams
65,18001,0,0,7,Adams
66,18001,0,0,10,Adams
67,18001,0,0,1,Adams
68,18001,0,0,16,Adams
69,18001,0,0,11,Adams
70,18001,0,0,5,Adams
71,18001,0,0,4,Adams
72,18001,0,0,8,Adams
73,18001,0,0,8,Adams
74,18001,1,0,18,Adams
75,18001,0,0,21,Adams
76,18001,0,0,15,Adams
77,18001,0,0,2,Adams
78,18001,1,0,5,Adams
79,18001,0,0,10,Adams
80,18001,1,0,9,Adams
81,18001,0,0,11,Adams
82,18001,0,0,8,Adams
83,18001,1,0,13,Adams
84,18001,0,0,0,Adams
85,18001,0,0,2,Adams
86,18001,0,0,5,Adams
87,18001,0,0,18,Adams
88,18001,1,0,14,Adams
89,18001,0,0,15,Adams
90,18001,2,0,19,Adams
91,18001,0,0,3,Adams
92,18001,2,0,5,Adams
93,18001,3,0,18,Adams
94,18001,0,0,19,Adams
95,18001,0,0,12,Adams
96,18001,2,0,32,Adams
97,18001,0,0,18,Adams
98,18001,0,0,9,Adams
99,18001,0,0,6,Adams
100,18001,1,0,24,Adams
101,18001,1,0,14,Adams
102,18001,0,0,256,Adams
103,18001,0,0,27,Adams
104,18001,2,0,20,Adams
105,18001,0,0,8,Adams
106,18001,1,0,5,Adams
107,18001,1,0,27,Adams
108,18001,0,0,30,Adams
109,18001,0,0,11,Adams
110,18001,0,0,25,Adams
111,18001,8,0,59,Adams
112,18001,0,0,97,Adams
113,18001,0,0,2,Adams
114,18001,0,0,19,Adams
115,18001,2,0,26,Adams
116,18001,1,0,19,Adams
117,18001,3,0,24,Adams
118,18001,1,0,24,Adams
119,18001,0,0,3,Adams
120,18001,2,0,2,Adams
121,18001,0,0,35,Adams
122,18001,0,0,17,Adams
123,18001,2,0,12,Adams
124,18001,1,0,5,Adams
125,18001,1,0,7,Adams
126,18001,0,0,3,Adams
127,18001,0,0,4,Adams
128,18001,0,0,8,Adams
129,18001,0,0,3,Adams
130,18001,0,0,1,Adams
131,18003,0,0,0,Allen
132,18003,0,0,0,Allen
133,18003,0,0,1,Allen
134,18003,0,0,0,Allen
135,18003,0,0,0,Allen
136,18003,0,0,1,Allen
137,18003,0,0,0,Allen
138,18003,0,0,1,Allen
139,18003,0,0,2,Allen
140,18003,0,0,10,Allen
141,18003,0,0,1,Allen
142,18003,0,0,9,Allen
143,18003,0,0,12,Allen
144,18003,0,0,6,Allen
145,18003,0,0,3,Allen
146,18003,0,0,4,Allen
147,18003,0,0,22,Allen
148,18003,0,0,36,Allen
149,18003,1,0,19,Allen
150,18003,3,0,29,Allen
151,18003,0,0,26,Allen
152,18003,2,1,17,Allen
153,18003,1,0,62,Allen
154,18003,0,0,52,Allen
155,18003,1,0,48,Allen
156,18003,13,0,48,Allen
157,18003,2,0,49,Allen
158,18003,3,0,35,Allen
159,18003,2,0,25,Allen
160,18003,2,1,48,Allen
161,18003,8,0,52,Allen
162,18003,8,0,80,Allen
163,18003,11,0,104,Allen
164,18003,2,1,62,Allen
165,18003,4,0,44,Allen
166,18003,12,3,46,Allen
167,18003,10,0,70,Allen
168,18003,8,1,67,Allen
169,18003,11,2,99,Allen
170,18003,14,0,67,Allen
171,18003,17,3,56,Allen
