_id,LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
1,18001,164,2,2815,Adams
2,18003,4756,176,48051,Allen
3,18005,1025,52,13179,Bartholomew
4,18007,77,0,1262,Benton
5,18009,70,2,1488,Blackford
6,18011,798,46,10532,Boone
7,18013,84,2,1608,Brown
8,18015,248,12,2792,Carroll
9,18017,1848,9,7933,Cass
10,18019,1644,51,17464,Clark
11,18021,209,5,3422,Clay
12,18023,525,7,6691,Clinton
13,18025,56,0,1300,Crawford
14,18027,430,23,3864,Daviess
15,18029,559,28,7386,Dearborn
16,18031,380,34,4048,Decatur
17,18033,304,4,4279,De Kalb
18,18035,931,54,15487,Delaware
19,18037,810,17,6479,Dubois
20,18039,5439,97,41350,Elkhart
21,18041,295,8,3538,Fayette
22,18043,1022,54,11339,Floyd
23,18045,86,2,2038,Fountain
24,18047,265,23,1860,Franklin
25,18049,198,2,2567,Fulton
26,18051,301,4,4234,Gibson
27,18053,612,30,9747,Grant
28,18055,345,35,4401,Greene
29,18057,3639,107,57560,Hamilton
30,18059,786,41,13034,Hancock
31,18061,458,24,5514,Harrison
32,18063,2204,111,22480,Hendricks
33,18065,568,21,7111,Henry
34,18067,1035,61,12641,Howard
35,18069,153,4,4648,Huntington
36,18071,675,7,6159,Jackson
37,18073,306,2,4588,Jasper
38,18075,119,0,1916,Jay
39,18077,200,3,4431,Jefferson
40,18079,261,12,2945,Jennings
41,18081,1964,120,23041,Johnson
42,18083,303,3,4038,Knox
43,18085,1002,16,10665,Kosciusko
44,18087,585,11,2940,Lagrange
45,18089,8799,293,77770,Lake
46,18091,1127,31,16976,La Porte
47,18093,431,27,5490,Lawrence
48,18095,1230,68,15255,Madison
49,18097,17833,745,161024,Marion
50,18099,864,23,9475,Marshall
51,18101,83,0,1022,Martin
52,18103,308,2,5210,Miami
53,18105,993,36,26285,Monroe
54,18107,391,21,5280,Montgomery
55,18109,557,35,8517,Morgan
56,18111,134,10,1227,Newton
57,18113,779,30,7265,Noble
58,18115,71,7,1005,Ohio
59,18117,224,24,2519,Orange
60,18119,133,1,3252,Owen
61,18121,74,2,1696,Parke
62,18123,196,13,3173,Perry
63,18125,84,1,1305,Pike
64,18127,1613,41,22374,Porter
65,18129,206,0,3147,Posey
66,18131,93,1,1620,Pulaski
67,18133,410,8,4998,Putnam
68,18135,153,7,2972,Randolph
69,18137,237,8,4175,Ripley
70,18139,128,4,2331,Rush
71,18141,4823,90,56946,St. Joseph
72,18143,305,10,4188,Scott
73,18145,609,28,6297,Shelby
74,18147,150,3,2253,Spencer
75,18149,193,7,2784,Starke
76,18151,252,3,3471,Steuben
77,18153,271,7,3053,Sullivan
78,18155,63,0,1255,Switzerland
79,18157,1500,13,29074,Tippecanoe
80,18159,173,19,1849,Tipton
81,18161,58,0,1071,Union
82,18163,2417,18,33507,Vanderburgh
83,18165,82,0,1861,Vermillion
84,18167,1100,15,15302,Vigo
85,18169,199,5,3917,Wabash
86,18171,36,1,645,Warren
87,18173,721,31,10066,Warrick
88,18175,199,1,2859,Washington
89,18177,502,10,11274,Wayne
90,18179,202,2,3213,Wells
91,18181,419,12,4376,White
92,18183,195,6,3048,Whitley
