_id,date,agegrp,covid_deaths
1,2020-03-15T00:00:00,80+,1
2,2020-03-16T00:00:00,60-69,1
3,2020-03-17T00:00:00,70-79,1
4,2020-03-17T00:00:00,80+,1
5,2020-03-18T00:00:00,80+,1
6,2020-03-20T00:00:00,50-59,1
7,2020-03-20T00:00:00,70-79,2
8,2020-03-20T00:00:00,80+,1
9,2020-03-21T00:00:00,70-79,1
10,2020-03-21T00:00:00,80+,4
11,2020-03-22T00:00:00,30-39,1
12,2020-03-22T00:00:00,50-59,1
13,2020-03-22T00:00:00,60-69,1
14,2020-03-22T00:00:00,70-79,2
15,2020-03-23T00:00:00,50-59,2
16,2020-03-23T00:00:00,70-79,1
17,2020-03-23T00:00:00,80+,2
18,2020-03-24T00:00:00,50-59,1
19,2020-03-24T00:00:00,60-69,3
20,2020-03-24T00:00:00,80+,1
21,2020-03-25T00:00:00,70-79,2
22,2020-03-25T00:00:00,80+,4
23,2020-03-26T00:00:00,50-59,2
24,2020-03-26T00:00:00,60-69,1
25,2020-03-26T00:00:00,70-79,1
26,2020-03-26T00:00:00,80+,5
27,2020-03-27T00:00:00,70-79,1
28,2020-03-27T00:00:00,80+,2
29,2020-03-28T00:00:00,60-69,5
30,2020-03-28T00:00:00,70-79,4
31,2020-03-28T00:00:00,80+,2
32,2020-03-29T00:00:00,50-59,1
33,2020-03-29T00:00:00,60-69,2
34,2020-03-29T00:00:00,70-79,5
35,2020-03-29T00:00:00,80+,10
36,2020-03-30T00:00:00,50-59,1
37,2020-03-30T00:00:00,60-69,5
38,2020-03-30T00:00:00,70-79,5
39,2020-03-30T00:00:00,80+,4
40,2020-03-31T00:00:00,30-39,1
41,2020-03-31T00:00:00,40-49,2
42,2020-03-31T00:00:00,50-59,4
43,2020-03-31T00:00:00,60-69,3
44,2020-03-31T00:00:00,70-79,8
45,2020-03-31T00:00:00,80+,4
46,2020-04-01T00:00:00,30-39,1
47,2020-04-01T00:00:00,60-69,4
48,2020-04-01T00:00:00,70-79,6
49,2020-04-01T00:00:00,80+,11
50,2020-04-02T00:00:00,40-49,1
51,2020-04-02T00:00:00,60-69,8
52,2020-04-02T00:00:00,70-79,4
53,2020-04-02T00:00:00,80+,9
54,2020-04-03T00:00:00,30-39,1
55,2020-04-03T00:00:00,50-59,2
56,2020-04-03T00:00:00,60-69,9
57,2020-04-03T00:00:00,70-79,14
58,2020-04-03T00:00:00,80+,6
59,2020-04-04T00:00:00,50-59,2
60,2020-04-04T00:00:00,60-69,4
