_id,location_level,location_id,ethnicity,covid_test,covid_count,covid_deaths,covid_test_pct,covid_count_pct,covid_deaths_pct,county_name
1,c,18001,Hispanic or Latino,176,20,Suppressed,4.42,8.7,Suppressed,Adams
2,c,18001,Not Hispanic or Latino,2647,135,Suppressed,66.47,58.7,Suppressed,Adams
3,c,18001,Unknown,1159,75,Suppressed,29.11,32.61,Suppressed,Adams
4,c,18003,Hispanic or Latino,2395,471,6,4.03,8.14,3.03,Allen
5,c,18003,Not Hispanic or Latino,31418,2944,112,52.93,50.89,56.57,Allen
6,c,18003,Unknown,25547,2370,80,43.04,40.97,40.4,Allen
7,c,18005,Hispanic or Latino,400,85,0,2.51,7.51,0.0,Bartholomew
8,c,18005,Not Hispanic or Latino,4938,361,16,31.04,31.89,28.07,Bartholomew
9,c,18005,Unknown,10573,686,41,66.45,60.6,71.93,Bartholomew
10,c,18007,Hispanic or Latino,134,38,Suppressed,8.22,43.18,Suppressed,Benton
11,c,18007,Not Hispanic or Latino,1018,38,Suppressed,62.45,43.18,Suppressed,Benton
12,c,18007,Unknown,478,12,Suppressed,29.33,13.64,Suppressed,Benton
13,c,18009,Hispanic or Latino,17,4,Suppressed,0.93,3.74,Suppressed,Blackford
14,c,18009,Not Hispanic or Latino,1356,68,Suppressed,74.22,63.55,Suppressed,Blackford
15,c,18009,Unknown,454,35,Suppressed,24.85,32.71,Suppressed,Blackford
16,c,18011,Hispanic or Latino,138,18,0,1.06,1.92,0.0,Boone
17,c,18011,Not Hispanic or Latino,5105,332,16,39.19,35.39,34.78,Boone
18,c,18011,Unknown,7784,588,30,59.75,62.69,65.22,Boone
19,c,18013,Hispanic or Latino,25,1,Suppressed,1.36,1.08,Suppressed,Brown
20,c,18013,Not Hispanic or Latino,1220,53,Suppressed,66.59,56.99,Suppressed,Brown
21,c,18013,Unknown,587,39,Suppressed,32.04,41.94,Suppressed,Brown
22,c,18015,Hispanic or Latino,102,31,0,3.1,11.61,0.0,Carroll
23,c,18015,Not Hispanic or Latino,1955,125,5,59.46,46.82,38.46,Carroll
24,c,18015,Unknown,1231,111,8,37.44,41.57,61.54,Carroll
25,c,18017,Hispanic or Latino,1502,959,Suppressed,16.34,49.95,Suppressed,Cass
26,c,18017,Not Hispanic or Latino,3335,516,Suppressed,36.29,26.88,Suppressed,Cass
27,c,18017,Unknown,4353,445,Suppressed,47.37,23.18,Suppressed,Cass
28,c,18019,Hispanic or Latino,864,196,2,4.11,9.56,3.57,Clark
29,c,18019,Not Hispanic or Latino,9735,1010,36,46.35,49.27,64.29,Clark
30,c,18019,Unknown,10402,844,18,49.53,41.17,32.14,Clark
31,c,18021,Hispanic or Latino,17,0,Suppressed,0.38,0.0,Suppressed,Clay
32,c,18021,Not Hispanic or Latino,1646,132,Suppressed,36.97,46.32,Suppressed,Clay
33,c,18021,Unknown,2789,153,Suppressed,62.65,53.68,Suppressed,Clay
34,c,18023,Hispanic or Latino,1223,203,0,15.3,34.35,0.0,Clinton
35,c,18023,Not Hispanic or Latino,4967,294,11,62.13,49.75,100.0,Clinton
36,c,18023,Unknown,1804,94,0,22.57,15.91,0.0,Clinton
37,c,18025,Hispanic or Latino,13,2,Suppressed,0.79,2.04,Suppressed,Crawford
38,c,18025,Not Hispanic or Latino,1019,64,Suppressed,61.76,65.31,Suppressed,Crawford
39,c,18025,Unknown,618,32,Suppressed,37.45,32.65,Suppressed,Crawford
