_id,COUNTY_NAME,COVID_COUNT,COVID_DEATHS,COVID_TEST
1,ADAMS,22,1,504
2,ALLEN,1896,77,14146
3,BARTHOLOMEW,536,40,2620
4,BENTON,33,0,357
5,BLACKFORD,29,2,464
6,BOONE,332,36,3144
7,BROWN,34,1,260
8,CARROLL,96,2,1132
9,CASS,1593,9,4149
10,CLARK,549,42,4537
11,CLAY,53,3,1104
12,CLINTON,252,1,2685
13,CRAWFORD,27,0,361
14,DAVIESS,110,16,981
15,DEARBORN,175,22,1495
16,DECATUR,234,32,1257
17,DEKALB,69,1,887
18,DELAWARE,400,41,4913
19,DUBOIS,230,4,1781
20,ELKHART,1741,29,12684
21,FAYETTE,80,7,910
22,FLOYD,328,41,2991
23,FOUNTAIN,23,2,572
24,FRANKLIN,117,8,586
25,FULTON,51,1,693
26,GIBSON,20,2,836
27,GRANT,240,23,2640
28,GREENE,175,28,1241
29,HAMILTON,1209,94,17552
30,HANCOCK,366,27,4145
31,HARRISON,197,22,1476
32,HENDRICKS,1219,79,7497
33,HENRY,189,12,2341
34,HOWARD,446,38,3807
35,HUNTINGTON,44,2,1104
36,JACKSON,404,2,2068
37,JASPER,76,1,1588
38,JAY,59,0,598
39,JEFFERSON,51,1,1481
40,JENNINGS,133,4,721
41,JOHNSON,1139,114,7795
42,KNOX,33,0,944
43,KOSCIUSKO,232,2,2466
44,LAGRANGE,171,2,772
45,LAKE,3959,215,27362
46,LAPORTE,460,24,4875
47,LAWRENCE,172,24,1658
48,MADISON,605,61,4913
49,MARION,10358,623,60963
50,MARSHALL,227,2,2324
51,MARTIN,15,0,242
52,MIAMI,151,1,1591
53,MONROE,176,15,4179
54,MONTGOMERY,254,18,1746
55,MORGAN,291,28,3044
56,NEWTON,81,10,441
57,NOBLE,299,22,2067
58,OHIO,13,0,169
59,ORANGE,132,23,788
60,OWEN,36,1,929
61,PARKE,19,0,475
62,PERRY,44,1,672
63,PIKE,6,0,235
64,PORTER,574,33,5771
65,POSEY,16,0,503
66,PULASKI,51,1,569
67,PUTNAM,144,7,1677
68,RANDOLPH,55,3,892
69,RIPLEY,109,6,1127
70,RUSH,49,3,709
71,SCOTT,129,3,1826
72,SHELBY,401,22,2935
73,SPENCER,22,1,450
74,ST JOSEPH,1418,42,16106
75,STARKE,46,3,658
76,STEUBEN,95,2,1087
77,SULLIVAN,39,1,976
78,SWITZERLAND,21,0,298
79,TIPPECANOE,456,5,7788
80,TIPTON,26,1,513
81,UNION,12,0,251
82,VANDERBURGH,303,4,7457
83,VERMILLION,10,0,422
84,VIGO,196,8,3422
85,WABASH,84,2,1109
86,WARREN,13,1,194
87,WARRICK,167,29,1651
88,WASHINGTON,52,1,666
89,WAYNE,90,6,2263
90,WELLS,40,0,917
91,WHITE,243,9,1629
92,WHITLEY,51,3,679
